"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_009914415.1_ASM991441v1","GCF_009914435.1_ASM991443v1","GCF_009914475.1_ASM991447v1","GCA_010918035.1_ASM1091803v1","GCF_009914375.1_ASM991437v1","GCF_002953575.2_ASM295357v2","GCF_009734145.1_ASM973414v1","GCF_009914395.1_ASM991439v1","GCF_009296145.1_ASM929614v1","GCF_010917815.1_ASM1091781v1"
"GCF_009914435.1_ASM991443v1_CDS_0034","persistent","","10","10","1.0","NA","NA","","","","353","353","353.0","GCF_009914415.1_ASM991441v1_CDS_0090","GCF_009914435.1_ASM991443v1_CDS_0034","GCF_009914475.1_ASM991447v1_CDS_2264","GCA_010918035.1_ASM1091803v1_CDS_2681","GCF_009914375.1_ASM991437v1_CDS_0633","GCF_002953575.2_ASM295357v2_CDS_0031","GCF_009734145.1_ASM973414v1_CDS_3069","GCF_009914395.1_ASM991439v1_CDS_0036","GCF_009296145.1_ASM929614v1_CDS_2879","GCF_010917815.1_ASM1091781v1_CDS_2899"
"GCF_009914435.1_ASM991443v1_CDS_0066","persistent","","10","10","1.0","NA","NA","","","","2063","2063","2063.0","GCF_009914415.1_ASM991441v1_CDS_0123","GCF_009914435.1_ASM991443v1_CDS_0066","GCF_009914475.1_ASM991447v1_CDS_2231","GCA_010918035.1_ASM1091803v1_CDS_2648","GCF_009914375.1_ASM991437v1_CDS_0668","GCF_002953575.2_ASM295357v2_CDS_0064","GCF_009734145.1_ASM973414v1_CDS_3036","GCF_009914395.1_ASM991439v1_CDS_0069","GCF_009296145.1_ASM929614v1_CDS_2846","GCF_010917815.1_ASM1091781v1_CDS_2865"
"GCF_009914435.1_ASM991443v1_CDS_0164","persistent","","10","10","1.0","NA","NA","","","","671","677","676.4","GCF_009914415.1_ASM991441v1_CDS_0220","GCF_009914435.1_ASM991443v1_CDS_0164","GCF_009914475.1_ASM991447v1_CDS_2134","GCA_010918035.1_ASM1091803v1_CDS_2520","GCF_009914375.1_ASM991437v1_CDS_0779","GCF_002953575.2_ASM295357v2_CDS_0166","GCF_009734145.1_ASM973414v1_CDS_2932","GCF_009914395.1_ASM991439v1_CDS_0173","GCF_009296145.1_ASM929614v1_CDS_2735","GCF_010917815.1_ASM1091781v1_CDS_2745"
"GCF_009914435.1_ASM991443v1_CDS_0356","persistent","","10","10","1.0","NA","NA","","","","1202","1202","1202.0","GCF_009914415.1_ASM991441v1_CDS_0435","GCF_009914435.1_ASM991443v1_CDS_0356","GCF_009914475.1_ASM991447v1_CDS_1919","GCA_010918035.1_ASM1091803v1_CDS_2339","GCF_009914375.1_ASM991437v1_CDS_1014","GCF_002953575.2_ASM295357v2_CDS_0382","GCF_009734145.1_ASM973414v1_CDS_2673","GCF_009914395.1_ASM991439v1_CDS_0349","GCF_009296145.1_ASM929614v1_CDS_2562","GCF_010917815.1_ASM1091781v1_CDS_2591"
"GCF_009914435.1_ASM991443v1_CDS_0388","persistent","","10","10","1.0","NA","NA","","","","257","257","257.0","GCF_009914415.1_ASM991441v1_CDS_0467","GCF_009914435.1_ASM991443v1_CDS_0388","GCF_009914475.1_ASM991447v1_CDS_1887","GCA_010918035.1_ASM1091803v1_CDS_2307","GCF_009914375.1_ASM991437v1_CDS_1046","GCF_002953575.2_ASM295357v2_CDS_0414","GCF_009734145.1_ASM973414v1_CDS_2641","GCF_009914395.1_ASM991439v1_CDS_0381","GCF_009296145.1_ASM929614v1_CDS_2530","GCF_010917815.1_ASM1091781v1_CDS_2559"
"GCF_009914435.1_ASM991443v1_CDS_0421","persistent","","10","10","1.0","NA","NA","","","","593","593","593.0","GCF_009914415.1_ASM991441v1_CDS_0498","GCF_009914435.1_ASM991443v1_CDS_0421","GCF_009914475.1_ASM991447v1_CDS_1856","GCA_010918035.1_ASM1091803v1_CDS_2271","GCF_009914375.1_ASM991437v1_CDS_1081","GCF_002953575.2_ASM295357v2_CDS_0451","GCF_009734145.1_ASM973414v1_CDS_2598","GCF_009914395.1_ASM991439v1_CDS_0412","GCF_009296145.1_ASM929614v1_CDS_2497","GCF_010917815.1_ASM1091781v1_CDS_2527"
"GCF_009914435.1_ASM991443v1_CDS_0614","persistent","","10","10","1.0","NA","NA","","","","1091","1097","1096.4","GCF_009914415.1_ASM991441v1_CDS_0708","GCF_009914435.1_ASM991443v1_CDS_0614","GCF_009914475.1_ASM991447v1_CDS_1645","GCA_010918035.1_ASM1091803v1_CDS_2042","GCF_009914375.1_ASM991437v1_CDS_1285","GCF_002953575.2_ASM295357v2_CDS_2362","GCF_009734145.1_ASM973414v1_CDS_0672","GCF_009914395.1_ASM991439v1_CDS_0614","GCF_009296145.1_ASM929614v1_CDS_2248","GCF_010917815.1_ASM1091781v1_CDS_2274"
"GCF_009914435.1_ASM991443v1_CDS_0710","persistent","","10","10","1.0","NA","NA","","","","1460","1460","1460.0","GCF_009914415.1_ASM991441v1_CDS_0826","GCF_009914435.1_ASM991443v1_CDS_0710","GCF_009914475.1_ASM991447v1_CDS_1527","GCA_010918035.1_ASM1091803v1_CDS_1945","GCF_009914375.1_ASM991437v1_CDS_1415","GCF_002953575.2_ASM295357v2_CDS_0778","GCF_009734145.1_ASM973414v1_CDS_2281","GCF_009914395.1_ASM991439v1_CDS_0749","GCF_009296145.1_ASM929614v1_CDS_2161","GCF_010917815.1_ASM1091781v1_CDS_2124"
"GCF_009914435.1_ASM991443v1_CDS_0742","persistent","","10","10","1.0","NA","NA","","","","515","515","515.0","GCF_009914415.1_ASM991441v1_CDS_0858","GCF_009914435.1_ASM991443v1_CDS_0742","GCF_009914475.1_ASM991447v1_CDS_1495","GCA_010918035.1_ASM1091803v1_CDS_1911","GCF_009914375.1_ASM991437v1_CDS_1447","GCF_002953575.2_ASM295357v2_CDS_0810","GCF_009734145.1_ASM973414v1_CDS_2249","GCF_009914395.1_ASM991439v1_CDS_0784","GCF_009296145.1_ASM929614v1_CDS_2129","GCF_010917815.1_ASM1091781v1_CDS_2092"
"GCF_009914435.1_ASM991443v1_CDS_0806","persistent","","10","10","1.0","NA","NA","","","","761","761","761.0","GCF_009914415.1_ASM991441v1_CDS_0917","GCF_009914435.1_ASM991443v1_CDS_0806","GCF_009914475.1_ASM991447v1_CDS_1436","GCA_010918035.1_ASM1091803v1_CDS_1845","GCF_009914375.1_ASM991437v1_CDS_1511","GCF_002953575.2_ASM295357v2_CDS_0871","GCF_009734145.1_ASM973414v1_CDS_2189","GCF_009914395.1_ASM991439v1_CDS_0854","GCF_009296145.1_ASM929614v1_CDS_2066","GCF_010917815.1_ASM1091781v1_CDS_2033"
"GCF_009914435.1_ASM991443v1_CDS_0902","persistent","","10","10","1.0","NA","NA","","","","1232","1232","1232.0","GCF_009914415.1_ASM991441v1_CDS_1004","GCF_009914435.1_ASM991443v1_CDS_0902","GCF_009914475.1_ASM991447v1_CDS_1349","GCA_010918035.1_ASM1091803v1_CDS_1761","GCF_009914375.1_ASM991437v1_CDS_1606","GCF_002953575.2_ASM295357v2_CDS_0951","GCF_009734145.1_ASM973414v1_CDS_2101","GCF_009914395.1_ASM991439v1_CDS_0940","GCF_009296145.1_ASM929614v1_CDS_1974","GCF_010917815.1_ASM1091781v1_CDS_1954"
"GCF_009914435.1_ASM991443v1_CDS_0934","persistent","","10","10","1.0","NA","NA","","","","350","350","350.0","GCF_009914415.1_ASM991441v1_CDS_1036","GCF_009914435.1_ASM991443v1_CDS_0934","GCF_009914475.1_ASM991447v1_CDS_1317","GCA_010918035.1_ASM1091803v1_CDS_1727","GCF_009914375.1_ASM991437v1_CDS_1639","GCF_002953575.2_ASM295357v2_CDS_0985","GCF_009734145.1_ASM973414v1_CDS_2065","GCF_009914395.1_ASM991439v1_CDS_0973","GCF_009296145.1_ASM929614v1_CDS_1940","GCF_010917815.1_ASM1091781v1_CDS_1922"
"GCF_009914435.1_ASM991443v1_CDS_0966","persistent","","10","10","1.0","NA","NA","","","","908","908","908.0","GCF_009914415.1_ASM991441v1_CDS_1070","GCF_009914435.1_ASM991443v1_CDS_0966","GCF_009914475.1_ASM991447v1_CDS_1283","GCA_010918035.1_ASM1091803v1_CDS_1694","GCF_009914375.1_ASM991437v1_CDS_1672","GCF_002953575.2_ASM295357v2_CDS_1016","GCF_009734145.1_ASM973414v1_CDS_2035","GCF_009914395.1_ASM991439v1_CDS_1004","GCF_009296145.1_ASM929614v1_CDS_1908","GCF_010917815.1_ASM1091781v1_CDS_1890"
"GCF_009914435.1_ASM991443v1_CDS_0998","persistent","","10","10","1.0","NA","NA","","","","1475","1475","1475.0","GCF_009914415.1_ASM991441v1_CDS_1100","GCF_009914435.1_ASM991443v1_CDS_0998","GCF_009914475.1_ASM991447v1_CDS_1254","GCA_010918035.1_ASM1091803v1_CDS_1665","GCF_009914375.1_ASM991437v1_CDS_1701","GCF_002953575.2_ASM295357v2_CDS_1047","GCF_009734145.1_ASM973414v1_CDS_2004","GCF_009914395.1_ASM991439v1_CDS_1034","GCF_009296145.1_ASM929614v1_CDS_1878","GCF_010917815.1_ASM1091781v1_CDS_1860"
"GCF_009914435.1_ASM991443v1_CDS_1606","cloud","","1","1","1.0","NA","NA","","","","542","542","542.0","","GCF_009914435.1_ASM991443v1_CDS_1606","","","","","","","",""
"GCF_009914435.1_ASM991443v1_CDS_1638","cloud","","1","1","1.0","NA","NA","","","","485","485","485.0","","GCF_009914435.1_ASM991443v1_CDS_1638","","","","","","","",""
"GCF_009914435.1_ASM991443v1_CDS_1670","cloud","","1","1","1.0","NA","NA","","","","794","794","794.0","","GCF_009914435.1_ASM991443v1_CDS_1670","","","","","","","",""
"GCF_009914435.1_ASM991443v1_CDS_1734","persistent","","10","10","1.0","NA","NA","","","","236","236","236.0","GCF_009914415.1_ASM991441v1_CDS_1789","GCF_009914435.1_ASM991443v1_CDS_1734","GCF_009914475.1_ASM991447v1_CDS_0566","GCA_010918035.1_ASM1091803v1_CDS_0914","GCF_009914375.1_ASM991437v1_CDS_2377","GCF_002953575.2_ASM295357v2_CDS_1832","GCF_009734145.1_ASM973414v1_CDS_1191","GCF_009914395.1_ASM991439v1_CDS_1732","GCF_009296145.1_ASM929614v1_CDS_1165","GCF_010917815.1_ASM1091781v1_CDS_1086"
"GCF_009914435.1_ASM991443v1_CDS_1766","persistent","","10","10","1.0","NA","NA","","","","308","308","308.0","GCF_009914415.1_ASM991441v1_CDS_1821","GCF_009914435.1_ASM991443v1_CDS_1766","GCF_009914475.1_ASM991447v1_CDS_0534","GCA_010918035.1_ASM1091803v1_CDS_0883","GCF_009914375.1_ASM991437v1_CDS_2408","GCF_002953575.2_ASM295357v2_CDS_1863","GCF_009734145.1_ASM973414v1_CDS_1158","GCF_009914395.1_ASM991439v1_CDS_1763","GCF_009296145.1_ASM929614v1_CDS_1134","GCF_010917815.1_ASM1091781v1_CDS_1054"
"GCF_009914435.1_ASM991443v1_CDS_1830","persistent","","10","10","1.0","NA","NA","","","","929","929","929.0","GCF_009914415.1_ASM991441v1_CDS_1884","GCF_009914435.1_ASM991443v1_CDS_1830","GCF_009914475.1_ASM991447v1_CDS_0471","GCA_010918035.1_ASM1091803v1_CDS_0777","GCF_009914375.1_ASM991437v1_CDS_2488","GCF_002953575.2_ASM295357v2_CDS_1933","GCF_009734145.1_ASM973414v1_CDS_1088","GCF_009914395.1_ASM991439v1_CDS_1842","GCF_009296145.1_ASM929614v1_CDS_0990","GCF_010917815.1_ASM1091781v1_CDS_0962"
"GCF_009914435.1_ASM991443v1_CDS_2022","persistent","","8","8","1.0","NA","NA","","","","1577","1850","1815.88","GCF_009914415.1_ASM991441v1_CDS_2059","GCF_009914435.1_ASM991443v1_CDS_2022","GCF_009914475.1_ASM991447v1_CDS_0296","GCA_010918035.1_ASM1091803v1_CDS_0595","","GCF_002953575.2_ASM295357v2_CDS_2154","GCF_009734145.1_ASM973414v1_CDS_0888","","GCF_009296145.1_ASM929614v1_CDS_0803","GCF_010917815.1_ASM1091781v1_CDS_0773"
"GCF_009914435.1_ASM991443v1_CDS_2055","persistent","","10","10","1.0","NA","NA","","","","953","953","953.0","GCF_009914415.1_ASM991441v1_CDS_2092","GCF_009914435.1_ASM991443v1_CDS_2055","GCF_009914475.1_ASM991447v1_CDS_0263","GCA_010918035.1_ASM1091803v1_CDS_0562","GCF_009914375.1_ASM991437v1_CDS_2709","GCF_002953575.2_ASM295357v2_CDS_2188","GCF_009734145.1_ASM973414v1_CDS_0854","GCF_009914395.1_ASM991439v1_CDS_2048","GCF_009296145.1_ASM929614v1_CDS_0768","GCF_010917815.1_ASM1091781v1_CDS_0737"
"GCF_009914435.1_ASM991443v1_CDS_2183","persistent","","10","10","1.0","NA","NA","","","","485","485","485.0","GCF_009914415.1_ASM991441v1_CDS_2222","GCF_009914435.1_ASM991443v1_CDS_2183","GCF_009914475.1_ASM991447v1_CDS_0133","GCA_010918035.1_ASM1091803v1_CDS_0430","GCF_009914375.1_ASM991437v1_CDS_2850","GCF_002953575.2_ASM295357v2_CDS_0683","GCF_009734145.1_ASM973414v1_CDS_2378","GCF_009914395.1_ASM991439v1_CDS_2184","GCF_009296145.1_ASM929614v1_CDS_0635","GCF_010917815.1_ASM1091781v1_CDS_0603"
"GCF_009914435.1_ASM991443v1_CDS_2215","persistent","","8","8","1.0","NA","NA","","","","323","395","386.0","GCF_009914415.1_ASM991441v1_CDS_2252","GCF_009914435.1_ASM991443v1_CDS_2215","GCF_009914475.1_ASM991447v1_CDS_0103","GCA_010918035.1_ASM1091803v1_CDS_0397","GCF_009914375.1_ASM991437v1_CDS_2885","","","GCF_009914395.1_ASM991439v1_CDS_2216","GCF_009296145.1_ASM929614v1_CDS_0603","GCF_010917815.1_ASM1091781v1_CDS_0571"
"GCF_009914435.1_ASM991443v1_CDS_2407","persistent","","10","10","1.0","NA","NA","","","","1841","1841","1841.0","GCF_009914415.1_ASM991441v1_CDS_2444","GCF_009914435.1_ASM991443v1_CDS_2407","GCF_009914475.1_ASM991447v1_CDS_2719","GCA_010918035.1_ASM1091803v1_CDS_0201","GCF_009914375.1_ASM991437v1_CDS_0217","GCF_002953575.2_ASM295357v2_CDS_2630","GCF_009734145.1_ASM973414v1_CDS_0389","GCF_009914395.1_ASM991439v1_CDS_2416","GCF_009296145.1_ASM929614v1_CDS_0400","GCF_010917815.1_ASM1091781v1_CDS_0381"
"GCF_009914435.1_ASM991443v1_CDS_2663","shell","","5","5","1.0","NA","NA","","","","803","803","803.0","","GCF_009914435.1_ASM991443v1_CDS_2663","","GCA_010918035.1_ASM1091803v1_CDS_2831","GCF_009914375.1_ASM991437v1_CDS_0501","","","","GCF_009296145.1_ASM929614v1_CDS_0078","GCF_010917815.1_ASM1091781v1_CDS_0072"
"GCF_009914435.1_ASM991443v1_CDS_2759","cloud","","3","3","1.0","NA","NA","","","","1244","1244","1244.0","GCF_009914415.1_ASM991441v1_CDS_2840","GCF_009914435.1_ASM991443v1_CDS_2759","GCF_009914475.1_ASM991447v1_CDS_2854","","","","","","",""
"GCF_009914475.1_ASM991447v1_CDS_0018","persistent","","10","10","1.0","NA","NA","","","","875","875","875.0","GCF_009914415.1_ASM991441v1_CDS_2337","GCF_009914435.1_ASM991443v1_CDS_2299","GCF_009914475.1_ASM991447v1_CDS_0018","GCA_010918035.1_ASM1091803v1_CDS_0305","GCF_009914375.1_ASM991437v1_CDS_0102","GCF_002953575.2_ASM295357v2_CDS_2528","GCF_009734145.1_ASM973414v1_CDS_0492","GCF_009914395.1_ASM991439v1_CDS_2304","GCF_009296145.1_ASM929614v1_CDS_0516","GCF_010917815.1_ASM1091781v1_CDS_0487"
"GCF_009914475.1_ASM991447v1_CDS_0050","persistent","","10","10","1.0","NA","NA","","","","1283","1283","1283.0","GCF_009914415.1_ASM991441v1_CDS_2305","GCF_009914435.1_ASM991443v1_CDS_2269","GCF_009914475.1_ASM991447v1_CDS_0050","GCA_010918035.1_ASM1091803v1_CDS_0344","GCF_009914375.1_ASM991437v1_CDS_0053","GCF_002953575.2_ASM295357v2_CDS_2498","GCF_009734145.1_ASM973414v1_CDS_0538","GCF_009914395.1_ASM991439v1_CDS_2269","GCF_009296145.1_ASM929614v1_CDS_0550","GCF_010917815.1_ASM1091781v1_CDS_0518"
"GCF_009914475.1_ASM991447v1_CDS_0114","persistent","","9","9","1.0","NA","NA","","","","449","452","450.33","GCF_009914415.1_ASM991441v1_CDS_2241","GCF_009914435.1_ASM991443v1_CDS_2204","GCF_009914475.1_ASM991447v1_CDS_0114","GCA_010918035.1_ASM1091803v1_CDS_0407","GCF_009914375.1_ASM991437v1_CDS_2874","GCF_002953575.2_ASM295357v2_CDS_0662","","GCF_009914395.1_ASM991439v1_CDS_2203","GCF_009296145.1_ASM929614v1_CDS_0613","GCF_010917815.1_ASM1091781v1_CDS_0581"
"GCF_009914415.1_ASM991441v1_CDS_1355","persistent","","10","10","1.0","NA","NA","","","","902","905","904.7","GCF_009914415.1_ASM991441v1_CDS_1355","GCF_009914435.1_ASM991443v1_CDS_1265","GCF_009914475.1_ASM991447v1_CDS_1000","GCA_010918035.1_ASM1091803v1_CDS_1402","GCF_009914375.1_ASM991437v1_CDS_1964","GCF_002953575.2_ASM295357v2_CDS_1320","GCF_009734145.1_ASM973414v1_CDS_1663","GCF_009914395.1_ASM991439v1_CDS_1297","GCF_009296145.1_ASM929614v1_CDS_1606","GCF_010917815.1_ASM1091781v1_CDS_1596"
"GCF_009914415.1_ASM991441v1_CDS_1387","persistent","","10","10","1.0","NA","NA","","","","1568","1568","1568.0","GCF_009914415.1_ASM991441v1_CDS_1387","GCF_009914435.1_ASM991443v1_CDS_1296","GCF_009914475.1_ASM991447v1_CDS_0968","GCA_010918035.1_ASM1091803v1_CDS_1369","GCF_009914375.1_ASM991437v1_CDS_1994","GCF_002953575.2_ASM295357v2_CDS_1354","GCF_009734145.1_ASM973414v1_CDS_1584","GCF_009914395.1_ASM991439v1_CDS_1328","GCF_009296145.1_ASM929614v1_CDS_1577","GCF_010917815.1_ASM1091781v1_CDS_1504"
"GCF_009914415.1_ASM991441v1_CDS_1419","persistent","","10","10","1.0","NA","NA","","","","923","923","923.0","GCF_009914415.1_ASM991441v1_CDS_1419","GCF_009914435.1_ASM991443v1_CDS_1328","GCF_009914475.1_ASM991447v1_CDS_0936","GCA_010918035.1_ASM1091803v1_CDS_1333","GCF_009914375.1_ASM991437v1_CDS_2026","GCF_002953575.2_ASM295357v2_CDS_1384","GCF_009734145.1_ASM973414v1_CDS_1552","GCF_009914395.1_ASM991439v1_CDS_1358","GCF_009296145.1_ASM929614v1_CDS_1542","GCF_010917815.1_ASM1091781v1_CDS_1472"
"GCF_009914415.1_ASM991441v1_CDS_1451","persistent","","10","10","1.0","NA","NA","","","","1241","1241","1241.0","GCF_009914415.1_ASM991441v1_CDS_1451","GCF_009914435.1_ASM991443v1_CDS_1358","GCF_009914475.1_ASM991447v1_CDS_0904","GCA_010918035.1_ASM1091803v1_CDS_1310","GCF_009914375.1_ASM991437v1_CDS_2056","GCF_002953575.2_ASM295357v2_CDS_1414","GCF_009734145.1_ASM973414v1_CDS_1522","GCF_009914395.1_ASM991439v1_CDS_1388","GCF_009296145.1_ASM929614v1_CDS_1510","GCF_010917815.1_ASM1091781v1_CDS_1442"
"GCF_009914415.1_ASM991441v1_CDS_1675","shell","","7","8","1.14","NA","NA","","","","320","2117","1799.0","GCF_009914415.1_ASM991441v1_CDS_1675","GCF_009914435.1_ASM991443v1_CDS_1588","GCF_009914475.1_ASM991447v1_CDS_0679","GCA_010918035.1_ASM1091803v1_CDS_1058" "GCA_010918035.1_ASM1091803v1_CDS_1059","","GCF_002953575.2_ASM295357v2_CDS_1654","GCF_009734145.1_ASM973414v1_CDS_1292","GCF_009914395.1_ASM991439v1_CDS_1633","",""
"GCF_009914415.1_ASM991441v1_CDS_1739","cloud","","3","3","1.0","NA","NA","","","","722","722","722.0","GCF_009914415.1_ASM991441v1_CDS_1739","GCF_009914435.1_ASM991443v1_CDS_1681","GCF_009914475.1_ASM991447v1_CDS_0616","","","","","","",""
"GCF_009914415.1_ASM991441v1_CDS_1867","persistent","","10","10","1.0","NA","NA","","","","638","638","638.0","GCF_009914415.1_ASM991441v1_CDS_1867","GCF_009914435.1_ASM991443v1_CDS_1813","GCF_009914475.1_ASM991447v1_CDS_0488","GCA_010918035.1_ASM1091803v1_CDS_0836","GCF_009914375.1_ASM991437v1_CDS_2458","GCF_002953575.2_ASM295357v2_CDS_1912","GCF_009734145.1_ASM973414v1_CDS_1107","GCF_009914395.1_ASM991439v1_CDS_1825","GCF_009296145.1_ASM929614v1_CDS_1022","GCF_010917815.1_ASM1091781v1_CDS_0995"
"GCF_009914415.1_ASM991441v1_CDS_1899","persistent","","10","10","1.0","NA","NA","","","","308","371","364.7","GCF_009914415.1_ASM991441v1_CDS_1899","GCF_009914435.1_ASM991443v1_CDS_1845","GCF_009914475.1_ASM991447v1_CDS_0456","GCA_010918035.1_ASM1091803v1_CDS_0761","GCF_009914375.1_ASM991437v1_CDS_2503","GCF_002953575.2_ASM295357v2_CDS_1948","GCF_009734145.1_ASM973414v1_CDS_1073","GCF_009914395.1_ASM991439v1_CDS_1857","GCF_009296145.1_ASM929614v1_CDS_0972","GCF_010917815.1_ASM1091781v1_CDS_0945"
"GCF_009914415.1_ASM991441v1_CDS_1931","shell","","6","6","1.0","NA","NA","","","","650","1637","1472.5","GCF_009914415.1_ASM991441v1_CDS_1931","GCF_009914435.1_ASM991443v1_CDS_1876","GCF_009914475.1_ASM991447v1_CDS_0424","GCA_010918035.1_ASM1091803v1_CDS_0728","GCF_009914375.1_ASM991437v1_CDS_2539","","","GCF_009914395.1_ASM991439v1_CDS_1888","",""
"GCF_009914415.1_ASM991441v1_CDS_1963","persistent","","10","10","1.0","NA","NA","","","","467","467","467.0","GCF_009914415.1_ASM991441v1_CDS_1963","GCF_009914435.1_ASM991443v1_CDS_1908","GCF_009914475.1_ASM991447v1_CDS_0392","GCA_010918035.1_ASM1091803v1_CDS_0696","GCF_009914375.1_ASM991437v1_CDS_2571","GCF_002953575.2_ASM295357v2_CDS_2018","GCF_009734145.1_ASM973414v1_CDS_1006","GCF_009914395.1_ASM991439v1_CDS_1922","GCF_009296145.1_ASM929614v1_CDS_0897","GCF_010917815.1_ASM1091781v1_CDS_0869"
"GCF_009914415.1_ASM991441v1_CDS_1995","persistent","","10","10","1.0","NA","NA","","","","1409","1409","1409.0","GCF_009914415.1_ASM991441v1_CDS_1995","GCF_009914435.1_ASM991443v1_CDS_1939","GCF_009914475.1_ASM991447v1_CDS_0360","GCA_010918035.1_ASM1091803v1_CDS_0665","GCF_009914375.1_ASM991437v1_CDS_2603","GCF_002953575.2_ASM295357v2_CDS_2050","GCF_009734145.1_ASM973414v1_CDS_0974","GCF_009914395.1_ASM991439v1_CDS_1954","GCF_009296145.1_ASM929614v1_CDS_0866","GCF_010917815.1_ASM1091781v1_CDS_0838"
"GCF_009914415.1_ASM991441v1_CDS_2188","persistent","","10","10","1.0","NA","NA","","","","404","404","404.0","GCF_009914415.1_ASM991441v1_CDS_2188","GCF_009914435.1_ASM991443v1_CDS_2144","GCF_009914475.1_ASM991447v1_CDS_0167","GCA_010918035.1_ASM1091803v1_CDS_0470","GCF_009914375.1_ASM991437v1_CDS_2807","GCF_002953575.2_ASM295357v2_CDS_2286","GCF_009734145.1_ASM973414v1_CDS_0757","GCF_009914395.1_ASM991439v1_CDS_2143","GCF_009296145.1_ASM929614v1_CDS_0671","GCF_010917815.1_ASM1091781v1_CDS_0639"
"GCF_009914415.1_ASM991441v1_CDS_2284","persistent","","10","10","1.0","NA","NA","","","","533","533","533.0","GCF_009914415.1_ASM991441v1_CDS_2284","GCF_009914435.1_ASM991443v1_CDS_2248","GCF_009914475.1_ASM991447v1_CDS_0071","GCA_010918035.1_ASM1091803v1_CDS_0365","GCF_009914375.1_ASM991437v1_CDS_0032","GCF_002953575.2_ASM295357v2_CDS_2477","GCF_009734145.1_ASM973414v1_CDS_0559","GCF_009914395.1_ASM991439v1_CDS_2248","GCF_009296145.1_ASM929614v1_CDS_0571","GCF_010917815.1_ASM1091781v1_CDS_0539"
"GCF_009914415.1_ASM991441v1_CDS_2316","persistent","","10","10","1.0","NA","NA","","","","989","998","989.9","GCF_009914415.1_ASM991441v1_CDS_2316","GCF_009914435.1_ASM991443v1_CDS_2280","GCF_009914475.1_ASM991447v1_CDS_0039","GCA_010918035.1_ASM1091803v1_CDS_0333","GCF_009914375.1_ASM991437v1_CDS_0066","GCF_002953575.2_ASM295357v2_CDS_2509","GCF_009734145.1_ASM973414v1_CDS_0523","GCF_009914395.1_ASM991439v1_CDS_2288","GCF_009296145.1_ASM929614v1_CDS_0537","GCF_010917815.1_ASM1091781v1_CDS_0507"
"GCF_009914415.1_ASM991441v1_CDS_2476","cloud","","3","3","1.0","NA","NA","","","","914","914","914.0","GCF_009914415.1_ASM991441v1_CDS_2476","GCF_009914435.1_ASM991443v1_CDS_2440","GCF_009914475.1_ASM991447v1_CDS_2687","","","","","","",""
"GCF_009914415.1_ASM991441v1_CDS_2636","persistent","","10","10","1.0","NA","NA","","","","1391","1391","1391.0","GCF_009914415.1_ASM991441v1_CDS_2636","GCF_009914435.1_ASM991443v1_CDS_2601","GCF_009914475.1_ASM991447v1_CDS_2527","GCA_010918035.1_ASM1091803v1_CDS_0008","GCF_009914375.1_ASM991437v1_CDS_0399","GCF_002953575.2_ASM295357v2_CDS_2845","GCF_009734145.1_ASM973414v1_CDS_0198","GCF_009914395.1_ASM991439v1_CDS_2597","GCF_009296145.1_ASM929614v1_CDS_0198","GCF_010917815.1_ASM1091781v1_CDS_0187"
"GCF_009914415.1_ASM991441v1_CDS_2764","cloud","","3","3","1.0","NA","NA","","","","368","368","368.0","GCF_009914415.1_ASM991441v1_CDS_2764","","GCF_009914475.1_ASM991447v1_CDS_2399","","","","","","GCF_009296145.1_ASM929614v1_CDS_0119",""
"GCF_009914435.1_ASM991443v1_CDS_0325","persistent","","10","10","1.0","NA","NA","","","","1154","1154","1154.0","GCF_009914415.1_ASM991441v1_CDS_0405","GCF_009914435.1_ASM991443v1_CDS_0325","GCF_009914475.1_ASM991447v1_CDS_1949","GCA_010918035.1_ASM1091803v1_CDS_2370","GCF_009914375.1_ASM991437v1_CDS_0984","GCF_002953575.2_ASM295357v2_CDS_0351","GCF_009734145.1_ASM973414v1_CDS_2709","GCF_009914395.1_ASM991439v1_CDS_0315","GCF_009296145.1_ASM929614v1_CDS_2595","GCF_010917815.1_ASM1091781v1_CDS_2621"
"GCF_009914435.1_ASM991443v1_CDS_0357","persistent","","10","10","1.0","NA","NA","","","","752","752","752.0","GCF_009914415.1_ASM991441v1_CDS_0436","GCF_009914435.1_ASM991443v1_CDS_0357","GCF_009914475.1_ASM991447v1_CDS_1918","GCA_010918035.1_ASM1091803v1_CDS_2338","GCF_009914375.1_ASM991437v1_CDS_1015","GCF_002953575.2_ASM295357v2_CDS_0383","GCF_009734145.1_ASM973414v1_CDS_2672","GCF_009914395.1_ASM991439v1_CDS_0350","GCF_009296145.1_ASM929614v1_CDS_2561","GCF_010917815.1_ASM1091781v1_CDS_2590"
