"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_003359435.2_ASM335943v2","GCF_004295305.1_ASM429530v1","GCF_002951295.1_ASM295129v1","GCF_003143895.1_ASM314389v1","GCF_000814165.3_ASM81416v3","GCF_002082665.1_ASM208266v1","GCA_003359375.2_ASM335937v2","GCA_003359395.2_ASM335939v2","GCA_003359355.2_ASM335935v2","GCA_003359505.2_ASM335950v2"
"GCF_002082665.1_ASM208266v1_CDS_1298","cloud","","1","1","1.0","NA","NA","","","","356","356","356.0","","","","","","GCF_002082665.1_ASM208266v1_CDS_1298","","","",""
"GCF_002082665.1_ASM208266v1_CDS_1330","cloud","","1","1","1.0","NA","NA","","","","1367","1367","1367.0","","","","","","GCF_002082665.1_ASM208266v1_CDS_1330","","","",""
"GCA_003359395.2_ASM335939v2_CDS_0633","persistent","","10","13","1.3","NA","NA","","","","257","734","560.0","GCA_003359435.2_ASM335943v2_CDS_0534","GCF_004295305.1_ASM429530v1_CDS_0391","GCF_002951295.1_ASM295129v1_CDS_0019","GCF_003143895.1_ASM314389v1_CDS_0349","GCF_000814165.3_ASM81416v3_CDS_0381","GCF_002082665.1_ASM208266v1_CDS_0479","GCA_003359375.2_ASM335937v2_CDS_0620" "GCA_003359375.2_ASM335937v2_CDS_0621","GCA_003359395.2_ASM335939v2_CDS_0633","GCA_003359355.2_ASM335935v2_CDS_0669" "GCA_003359355.2_ASM335935v2_CDS_0670","GCA_003359505.2_ASM335950v2_CDS_0520" "GCA_003359505.2_ASM335950v2_CDS_0519"
"GCA_003359395.2_ASM335939v2_CDS_0761","persistent","","10","10","1.0","NA","NA","","","","482","593","581.9","GCA_003359435.2_ASM335943v2_CDS_0638","GCF_004295305.1_ASM429530v1_CDS_0478","GCF_002951295.1_ASM295129v1_CDS_0106","GCF_003143895.1_ASM314389v1_CDS_0438","GCF_000814165.3_ASM81416v3_CDS_0468","GCF_002082665.1_ASM208266v1_CDS_0566","GCA_003359375.2_ASM335937v2_CDS_0747","GCA_003359395.2_ASM335939v2_CDS_0761","GCA_003359355.2_ASM335935v2_CDS_0812","GCA_003359505.2_ASM335950v2_CDS_0631"
"GCA_003359395.2_ASM335939v2_CDS_0826","persistent","","10","12","1.2","NA","NA","","","","170","983","821.75","GCA_003359435.2_ASM335943v2_CDS_0690","GCF_004295305.1_ASM429530v1_CDS_0525","GCF_002951295.1_ASM295129v1_CDS_0153","GCF_003143895.1_ASM314389v1_CDS_0489","GCF_000814165.3_ASM81416v3_CDS_0512","GCF_002082665.1_ASM208266v1_CDS_0611","GCA_003359375.2_ASM335937v2_CDS_0815" "GCA_003359375.2_ASM335937v2_CDS_0814","GCA_003359395.2_ASM335939v2_CDS_0826","GCA_003359355.2_ASM335935v2_CDS_0879" "GCA_003359355.2_ASM335935v2_CDS_0878","GCA_003359505.2_ASM335950v2_CDS_0688"
"GCA_003359395.2_ASM335939v2_CDS_1691","persistent","","10","10","1.0","NA","NA","","","","401","401","401.0","GCA_003359435.2_ASM335943v2_CDS_1447","GCF_004295305.1_ASM429530v1_CDS_1035","GCF_002951295.1_ASM295129v1_CDS_0660","GCF_003143895.1_ASM314389v1_CDS_1056","GCF_000814165.3_ASM81416v3_CDS_1072","GCF_002082665.1_ASM208266v1_CDS_1250","GCA_003359375.2_ASM335937v2_CDS_1638","GCA_003359395.2_ASM335939v2_CDS_1691","GCA_003359355.2_ASM335935v2_CDS_1819","GCA_003359505.2_ASM335950v2_CDS_1596"
"GCA_003359395.2_ASM335939v2_CDS_1723","cloud","","1","1","1.0","NA","NA","","","","893","893","893.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1723","",""
"GCA_003359395.2_ASM335939v2_CDS_2011","cloud","","4","4","1.0","NA","NA","","","","452","452","452.0","GCA_003359435.2_ASM335943v2_CDS_1750","","","","","","GCA_003359375.2_ASM335937v2_CDS_2073","GCA_003359395.2_ASM335939v2_CDS_2011","GCA_003359355.2_ASM335935v2_CDS_2268",""
"GCA_003359395.2_ASM335939v2_CDS_2043","cloud","","1","1","1.0","NA","NA","","","","239","239","239.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_2043","",""
"GCA_003359395.2_ASM335939v2_CDS_2459","persistent","","10","11","1.1","NA","NA","","","","374","1145","1022.55","GCA_003359435.2_ASM335943v2_CDS_2128","GCF_004295305.1_ASM429530v1_CDS_1668","GCF_002951295.1_ASM295129v1_CDS_1289","GCF_003143895.1_ASM314389v1_CDS_1634","GCF_000814165.3_ASM81416v3_CDS_1611","GCF_002082665.1_ASM208266v1_CDS_1731","GCA_003359375.2_ASM335937v2_CDS_2525","GCA_003359395.2_ASM335939v2_CDS_2459","GCA_003359355.2_ASM335935v2_CDS_2794" "GCA_003359355.2_ASM335935v2_CDS_2795","GCA_003359505.2_ASM335950v2_CDS_2567"
"GCA_003359395.2_ASM335939v2_CDS_2555","persistent","","10","10","1.0","NA","NA","","","","425","485","473.0","GCA_003359435.2_ASM335943v2_CDS_2221","GCF_004295305.1_ASM429530v1_CDS_1735","GCF_002951295.1_ASM295129v1_CDS_1355","GCF_003143895.1_ASM314389v1_CDS_1701","GCF_000814165.3_ASM81416v3_CDS_1677","GCF_002082665.1_ASM208266v1_CDS_1665","GCA_003359375.2_ASM335937v2_CDS_2630","GCA_003359395.2_ASM335939v2_CDS_2555","GCA_003359355.2_ASM335935v2_CDS_2898","GCA_003359505.2_ASM335950v2_CDS_2668"
"GCA_003359395.2_ASM335939v2_CDS_2619","cloud","","4","4","1.0","NA","NA","","","","1016","1040","1028.0","GCA_003359435.2_ASM335943v2_CDS_2271","GCF_004295305.1_ASM429530v1_CDS_1769","","","","","","GCA_003359395.2_ASM335939v2_CDS_2619","GCA_003359355.2_ASM335935v2_CDS_2968",""
"GCA_003359395.2_ASM335939v2_CDS_2811","persistent","","10","10","1.0","NA","NA","","","","530","530","530.0","GCA_003359435.2_ASM335943v2_CDS_2422","GCF_004295305.1_ASM429530v1_CDS_1895","GCF_002951295.1_ASM295129v1_CDS_1530","GCF_003143895.1_ASM314389v1_CDS_1856","GCF_000814165.3_ASM81416v3_CDS_1818","GCF_002082665.1_ASM208266v1_CDS_1518","GCA_003359375.2_ASM335937v2_CDS_2876","GCA_003359395.2_ASM335939v2_CDS_2811","GCA_003359355.2_ASM335935v2_CDS_3151","GCA_003359505.2_ASM335950v2_CDS_2935"
"GCA_003359395.2_ASM335939v2_CDS_2939","persistent","","8","8","1.0","NA","NA","","","","299","347","305.0","GCA_003359435.2_ASM335943v2_CDS_2559","GCF_004295305.1_ASM429530v1_CDS_1983","GCF_002951295.1_ASM295129v1_CDS_1622","GCF_003143895.1_ASM314389v1_CDS_1934","GCF_000814165.3_ASM81416v3_CDS_1908","GCF_002082665.1_ASM208266v1_CDS_2177","","GCA_003359395.2_ASM335939v2_CDS_2939","","GCA_003359505.2_ASM335950v2_CDS_3066"
"GCA_003359395.2_ASM335939v2_CDS_3355","cloud","","3","3","1.0","NA","NA","","","","338","338","338.0","GCA_003359435.2_ASM335943v2_CDS_2880","","","","","","","GCA_003359395.2_ASM335939v2_CDS_3355","GCA_003359355.2_ASM335935v2_CDS_3658",""
"GCA_003359395.2_ASM335939v2_CDS_3675","cloud","","1","1","1.0","NA","NA","","","","143","143","143.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_3675","",""
"GCA_003359395.2_ASM335939v2_CDS_3707","cloud","","1","1","1.0","NA","NA","","","","626","626","626.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_3707","",""
"GCA_003359375.2_ASM335937v2_CDS_5923","cloud","","1","1","1.0","NA","NA","","","","929","929","929.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_5923","","",""
"GCA_003359395.2_ASM335939v2_CDS_0153","cloud","","1","1","1.0","NA","NA","","","","161","161","161.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0153","",""
"GCA_003359395.2_ASM335939v2_CDS_0666","cloud","","3","3","1.0","NA","NA","","","","143","755","533.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0666","GCA_003359355.2_ASM335935v2_CDS_0711","GCA_003359505.2_ASM335950v2_CDS_0549"
"GCA_003359395.2_ASM335939v2_CDS_0698","cloud","","3","3","1.0","NA","NA","","","","155","155","155.0","GCA_003359435.2_ASM335943v2_CDS_0584","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0698","GCA_003359355.2_ASM335935v2_CDS_0739",""
"GCA_003359395.2_ASM335939v2_CDS_0827","persistent","","10","11","1.1","NA","NA","","","","314","812","741.64","GCA_003359435.2_ASM335943v2_CDS_0691","GCF_004295305.1_ASM429530v1_CDS_0526","GCF_002951295.1_ASM295129v1_CDS_0154","GCF_003143895.1_ASM314389v1_CDS_0490","GCF_000814165.3_ASM81416v3_CDS_0513","GCF_002082665.1_ASM208266v1_CDS_0612","GCA_003359375.2_ASM335937v2_CDS_0816","GCA_003359395.2_ASM335939v2_CDS_0827","GCA_003359355.2_ASM335935v2_CDS_0880","GCA_003359505.2_ASM335950v2_CDS_0689" "GCA_003359505.2_ASM335950v2_CDS_0690"
"GCA_003359395.2_ASM335939v2_CDS_0860","cloud","","1","1","1.0","NA","NA","","","","122","122","122.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0860","",""
"GCA_003359395.2_ASM335939v2_CDS_0956","persistent","","10","11","1.1","NA","NA","","","","212","896","780.09","GCA_003359435.2_ASM335943v2_CDS_0800","GCF_004295305.1_ASM429530v1_CDS_0614","GCF_002951295.1_ASM295129v1_CDS_0231","GCF_003143895.1_ASM314389v1_CDS_0606","GCF_000814165.3_ASM81416v3_CDS_0587","GCF_002082665.1_ASM208266v1_CDS_0740","GCA_003359375.2_ASM335937v2_CDS_0941","GCA_003359395.2_ASM335939v2_CDS_0956","GCA_003359355.2_ASM335935v2_CDS_1014","GCA_003359505.2_ASM335950v2_CDS_0871" "GCA_003359505.2_ASM335950v2_CDS_0872"
"GCA_003359395.2_ASM335939v2_CDS_1180","persistent","","10","11","1.1","NA","NA","","","","218","1250","1141.45","GCA_003359435.2_ASM335943v2_CDS_0977","GCF_004295305.1_ASM429530v1_CDS_0752","GCF_002951295.1_ASM295129v1_CDS_0364","GCF_003143895.1_ASM314389v1_CDS_0769","GCF_000814165.3_ASM81416v3_CDS_0738","GCF_002082665.1_ASM208266v1_CDS_0897","GCA_003359375.2_ASM335937v2_CDS_1146","GCA_003359395.2_ASM335939v2_CDS_1180","GCA_003359355.2_ASM335935v2_CDS_1258" "GCA_003359355.2_ASM335935v2_CDS_1257","GCA_003359505.2_ASM335950v2_CDS_1056"
"GCA_003359395.2_ASM335939v2_CDS_1436","cloud","","1","1","1.0","NA","NA","","","","179","179","179.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1436","",""
"GCA_003359395.2_ASM335939v2_CDS_1596","cloud","","2","2","1.0","NA","NA","","","","224","269","246.5","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1596","","GCA_003359505.2_ASM335950v2_CDS_1438"
"GCA_003359395.2_ASM335939v2_CDS_1724","cloud","","1","1","1.0","NA","NA","","","","338","338","338.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1724","",""
"GCA_003359395.2_ASM335939v2_CDS_1916","cloud","","7","7","1.0","NA","NA","","","","383","383","383.0","","GCF_004295305.1_ASM429530v1_CDS_1315","GCF_002951295.1_ASM295129v1_CDS_0885","GCF_003143895.1_ASM314389v1_CDS_1294","","","GCA_003359375.2_ASM335937v2_CDS_1980","GCA_003359395.2_ASM335939v2_CDS_1916","GCA_003359355.2_ASM335935v2_CDS_2169","GCA_003359505.2_ASM335950v2_CDS_1921"
"GCA_003359395.2_ASM335939v2_CDS_1948","persistent","","10","10","1.0","NA","NA","","","","728","833","815.0","GCA_003359435.2_ASM335943v2_CDS_1703","GCF_004295305.1_ASM429530v1_CDS_1337","GCF_002951295.1_ASM295129v1_CDS_0905","GCF_003143895.1_ASM314389v1_CDS_1315","GCF_000814165.3_ASM81416v3_CDS_1279","GCF_002082665.1_ASM208266v1_CDS_1488","GCA_003359375.2_ASM335937v2_CDS_2006","GCA_003359395.2_ASM335939v2_CDS_1948","GCA_003359355.2_ASM335935v2_CDS_2206","GCA_003359505.2_ASM335950v2_CDS_1951"
"GCA_003359395.2_ASM335939v2_CDS_2140","cloud","","3","3","1.0","NA","NA","","","","188","188","188.0","GCA_003359435.2_ASM335943v2_CDS_1851","","","","","","","GCA_003359395.2_ASM335939v2_CDS_2140","","GCA_003359505.2_ASM335950v2_CDS_2138"
"GCA_003359395.2_ASM335939v2_CDS_2556","cloud","","4","4","1.0","NA","NA","","","","476","476","476.0","GCA_003359435.2_ASM335943v2_CDS_2222","","","","","","GCA_003359375.2_ASM335937v2_CDS_2631","GCA_003359395.2_ASM335939v2_CDS_2556","GCA_003359355.2_ASM335935v2_CDS_2899",""
"GCA_003359395.2_ASM335939v2_CDS_2716","cloud","","6","6","1.0","NA","NA","","","","353","644","481.0","GCA_003359435.2_ASM335943v2_CDS_2344","","","GCF_003143895.1_ASM314389v1_CDS_1800","","GCF_002082665.1_ASM208266v1_CDS_1571","GCA_003359375.2_ASM335937v2_CDS_2789","GCA_003359395.2_ASM335939v2_CDS_2716","GCA_003359355.2_ASM335935v2_CDS_3052",""
"GCA_003359395.2_ASM335939v2_CDS_2908","cloud","","1","1","1.0","NA","NA","","","","233","233","233.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_2908","",""
"GCA_003359375.2_ASM335937v2_CDS_5507","cloud","","1","1","1.0","NA","NA","","","","674","674","674.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_5507","","",""
"GCA_003359375.2_ASM335937v2_CDS_5571","persistent","","10","13","1.3","NA","NA","","","","197","845","632.92","GCA_003359435.2_ASM335943v2_CDS_4653" "GCA_003359435.2_ASM335943v2_CDS_4652","GCF_004295305.1_ASM429530v1_CDS_3609","GCF_002951295.1_ASM295129v1_CDS_3336","GCF_003143895.1_ASM314389v1_CDS_3716","GCF_000814165.3_ASM81416v3_CDS_3505","GCF_002082665.1_ASM208266v1_CDS_0061","GCA_003359375.2_ASM335937v2_CDS_5571","GCA_003359395.2_ASM335939v2_CDS_5675" "GCA_003359395.2_ASM335939v2_CDS_5676","GCA_003359355.2_ASM335935v2_CDS_6120" "GCA_003359355.2_ASM335935v2_CDS_6119","GCA_003359505.2_ASM335950v2_CDS_5633"
"GCA_003359375.2_ASM335937v2_CDS_5668","cloud","","1","1","1.0","NA","NA","","","","614","614","614.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_5668","","",""
"GCA_003359375.2_ASM335937v2_CDS_5732","cloud","","1","1","1.0","NA","NA","","","","515","515","515.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_5732","","",""
"GCA_003359375.2_ASM335937v2_CDS_5924","cloud","","1","1","1.0","NA","NA","","","","350","350","350.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_5924","","",""
"GCA_003359395.2_ASM335939v2_CDS_0058","cloud","","3","3","1.0","NA","NA","","","","89","89","89.0","GCA_003359435.2_ASM335943v2_CDS_0043","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0058","GCA_003359355.2_ASM335935v2_CDS_0059",""
"GCA_003359395.2_ASM335939v2_CDS_0154","cloud","","2","2","1.0","NA","NA","","","","704","767","735.5","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0154","GCA_003359355.2_ASM335935v2_CDS_0169",""
"GCA_003359395.2_ASM335939v2_CDS_0379","cloud","","1","1","1.0","NA","NA","","","","284","284","284.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_0379","",""
"GCA_003359395.2_ASM335939v2_CDS_1181","persistent","","10","11","1.1","NA","NA","","","","197","650","536.27","GCA_003359435.2_ASM335943v2_CDS_0979" "GCA_003359435.2_ASM335943v2_CDS_0978","GCF_004295305.1_ASM429530v1_CDS_0753","GCF_002951295.1_ASM295129v1_CDS_0365","GCF_003143895.1_ASM314389v1_CDS_0770","GCF_000814165.3_ASM81416v3_CDS_0739","GCF_002082665.1_ASM208266v1_CDS_0898","GCA_003359375.2_ASM335937v2_CDS_1147","GCA_003359395.2_ASM335939v2_CDS_1181","GCA_003359355.2_ASM335935v2_CDS_1259","GCA_003359505.2_ASM335950v2_CDS_1057"
"GCA_003359395.2_ASM335939v2_CDS_1725","cloud","","1","1","1.0","NA","NA","","","","512","512","512.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1725","",""
"GCA_003359395.2_ASM335939v2_CDS_2237","persistent","","10","10","1.0","NA","NA","","","","251","251","251.0","GCA_003359435.2_ASM335943v2_CDS_1937","GCF_004295305.1_ASM429530v1_CDS_1520","GCF_002951295.1_ASM295129v1_CDS_1079","GCF_003143895.1_ASM314389v1_CDS_1489","GCF_000814165.3_ASM81416v3_CDS_1464","GCF_002082665.1_ASM208266v1_CDS_1885","GCA_003359375.2_ASM335937v2_CDS_2293","GCA_003359395.2_ASM335939v2_CDS_2237","GCA_003359355.2_ASM335935v2_CDS_2575","GCA_003359505.2_ASM335950v2_CDS_2223"
"GCA_003359355.2_ASM335935v2_CDS_2185","cloud","","2","2","1.0","NA","NA","","","","197","317","257.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_1932","GCA_003359355.2_ASM335935v2_CDS_2185",""
"GCA_003359355.2_ASM335935v2_CDS_2377","persistent","","10","10","1.0","NA","NA","","","","635","635","635.0","GCA_003359435.2_ASM335943v2_CDS_1838","GCF_004295305.1_ASM429530v1_CDS_1454","GCF_002951295.1_ASM295129v1_CDS_1016","GCF_003143895.1_ASM314389v1_CDS_1424","GCF_000814165.3_ASM81416v3_CDS_1401","GCF_002082665.1_ASM208266v1_CDS_1998","GCA_003359375.2_ASM335937v2_CDS_2192","GCA_003359395.2_ASM335939v2_CDS_2123","GCA_003359355.2_ASM335935v2_CDS_2377","GCA_003359505.2_ASM335950v2_CDS_2128"
"GCA_003359355.2_ASM335935v2_CDS_2537","persistent","","10","10","1.0","NA","NA","","","","233","269","255.8","GCA_003359435.2_ASM335943v2_CDS_1900","GCF_004295305.1_ASM429530v1_CDS_1495","GCF_002951295.1_ASM295129v1_CDS_1055","GCF_003143895.1_ASM314389v1_CDS_1465","GCF_000814165.3_ASM81416v3_CDS_1441","GCF_002082665.1_ASM208266v1_CDS_1909","GCA_003359375.2_ASM335937v2_CDS_2258","GCA_003359395.2_ASM335939v2_CDS_2199","GCA_003359355.2_ASM335935v2_CDS_2537","GCA_003359505.2_ASM335950v2_CDS_2189"
"GCA_003359355.2_ASM335935v2_CDS_2697","cloud","","4","4","1.0","NA","NA","","","","269","467","417.5","GCA_003359435.2_ASM335943v2_CDS_2042","","","","","","","GCA_003359395.2_ASM335939v2_CDS_2360","GCA_003359355.2_ASM335935v2_CDS_2697","GCA_003359505.2_ASM335950v2_CDS_2480"
"GCA_003359355.2_ASM335935v2_CDS_3017","cloud","","3","3","1.0","NA","NA","","","","149","983","705.0","","","","","","","GCA_003359375.2_ASM335937v2_CDS_2751","GCA_003359395.2_ASM335939v2_CDS_2675","GCA_003359355.2_ASM335935v2_CDS_3017",""
"GCA_003359355.2_ASM335935v2_CDS_3177","cloud","","1","1","1.0","NA","NA","","","","392","392","392.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_3177",""
"GCA_003359355.2_ASM335935v2_CDS_3497","cloud","","4","4","1.0","NA","NA","","","","254","254","254.0","GCA_003359435.2_ASM335943v2_CDS_2733","","","","","","","GCA_003359395.2_ASM335939v2_CDS_3214","GCA_003359355.2_ASM335935v2_CDS_3497","GCA_003359505.2_ASM335950v2_CDS_3269"
"GCA_003359355.2_ASM335935v2_CDS_3913","cloud","","1","1","1.0","NA","NA","","","","299","299","299.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_3913",""
"GCA_003359355.2_ASM335935v2_CDS_4201","persistent","","10","11","1.1","NA","NA","","","","164","1451","1235.27","GCA_003359435.2_ASM335943v2_CDS_3279","GCF_004295305.1_ASM429530v1_CDS_2513","GCF_002951295.1_ASM295129v1_CDS_2215","GCF_003143895.1_ASM314389v1_CDS_2586","GCF_000814165.3_ASM81416v3_CDS_2496","GCF_002082665.1_ASM208266v1_CDS_2824","GCA_003359375.2_ASM335937v2_CDS_3981","GCA_003359395.2_ASM335939v2_CDS_3915","GCA_003359355.2_ASM335935v2_CDS_4201","GCA_003359505.2_ASM335950v2_CDS_4032" "GCA_003359505.2_ASM335950v2_CDS_4031"
"GCA_003359355.2_ASM335935v2_CDS_4521","cloud","","2","3","1.5","NA","NA","","","","143","470","265.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4204" "GCA_003359395.2_ASM335939v2_CDS_4203","GCA_003359355.2_ASM335935v2_CDS_4521",""
"GCA_003359355.2_ASM335935v2_CDS_4553","cloud","","2","3","1.5","NA","NA","","","","146","1088","620.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4234" "GCA_003359395.2_ASM335939v2_CDS_4235","GCA_003359355.2_ASM335935v2_CDS_4553",""
"GCA_003359355.2_ASM335935v2_CDS_4617","cloud","","1","1","1.0","NA","NA","","","","206","206","206.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_4617",""
"GCA_003359355.2_ASM335935v2_CDS_4681","cloud","","1","1","1.0","NA","NA","","","","473","473","473.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_4681",""
"GCA_003359355.2_ASM335935v2_CDS_4842","persistent","","10","10","1.0","NA","NA","","","","464","485","472.7","GCA_003359435.2_ASM335943v2_CDS_3629","GCF_004295305.1_ASM429530v1_CDS_2869","GCF_002951295.1_ASM295129v1_CDS_2613","GCF_003143895.1_ASM314389v1_CDS_2946","GCF_000814165.3_ASM81416v3_CDS_2783","GCF_002082665.1_ASM208266v1_CDS_3186","GCA_003359375.2_ASM335937v2_CDS_4453","GCA_003359395.2_ASM335939v2_CDS_4504","GCA_003359355.2_ASM335935v2_CDS_4842","GCA_003359505.2_ASM335950v2_CDS_4498"
"GCA_003359355.2_ASM335935v2_CDS_5066","cloud","","2","2","1.0","NA","NA","","","","230","692","461.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4725","GCA_003359355.2_ASM335935v2_CDS_5066",""
"GCA_003359355.2_ASM335935v2_CDS_4843","cloud","","1","1","1.0","NA","NA","","","","314","314","314.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_4843",""
"GCA_003359355.2_ASM335935v2_CDS_5003","cloud","","3","3","1.0","NA","NA","","","","209","209","209.0","GCA_003359435.2_ASM335943v2_CDS_3792","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4664","GCA_003359355.2_ASM335935v2_CDS_5003",""
"GCA_003359355.2_ASM335935v2_CDS_5836","cloud","","1","1","1.0","NA","NA","","","","254","254","254.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_5836",""
"GCA_003359355.2_ASM335935v2_CDS_5998","cloud","","2","2","1.0","NA","NA","","","","935","947","941.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_5559","GCA_003359355.2_ASM335935v2_CDS_5998",""
"GCA_003359355.2_ASM335935v2_CDS_6062","persistent","","10","10","1.0","NA","NA","","","","1046","1157","1133.9","GCA_003359435.2_ASM335943v2_CDS_4602","GCF_004295305.1_ASM429530v1_CDS_3575","GCF_002951295.1_ASM295129v1_CDS_3304","GCF_003143895.1_ASM314389v1_CDS_3684","GCF_000814165.3_ASM81416v3_CDS_3472","GCF_002082665.1_ASM208266v1_CDS_0029","GCA_003359375.2_ASM335937v2_CDS_5524","GCA_003359395.2_ASM335939v2_CDS_5614","GCA_003359355.2_ASM335935v2_CDS_6062","GCA_003359505.2_ASM335950v2_CDS_5588"
"GCA_003359355.2_ASM335935v2_CDS_6094","cloud","","2","2","1.0","NA","NA","","","","368","455","411.5","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_5652","GCA_003359355.2_ASM335935v2_CDS_6094",""
"GCA_003359355.2_ASM335935v2_CDS_6158","cloud","","1","1","1.0","NA","NA","","","","377","377","377.0","","","","","","","","","GCA_003359355.2_ASM335935v2_CDS_6158",""
"GCA_003359395.2_ASM335939v2_CDS_4296","cloud","","2","2","1.0","NA","NA","","","","641","656","648.5","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4296","GCA_003359355.2_ASM335935v2_CDS_4621",""
"GCA_003359395.2_ASM335939v2_CDS_4681","cloud","","1","1","1.0","NA","NA","","","","254","254","254.0","","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4681","",""
"GCA_003359395.2_ASM335939v2_CDS_4713","cloud","","3","3","1.0","NA","NA","","","","137","137","137.0","GCA_003359435.2_ASM335943v2_CDS_3829","","","","","","","GCA_003359395.2_ASM335939v2_CDS_4713","GCA_003359355.2_ASM335935v2_CDS_5053",""
"GCF_003143895.1_ASM314389v1_CDS_0867","persistent","","10","13","1.3","NA","NA","","","","401","1166","837.38","GCA_003359435.2_ASM335943v2_CDS_1199" "GCA_003359435.2_ASM335943v2_CDS_1198","GCF_004295305.1_ASM429530v1_CDS_0848","GCF_002951295.1_ASM295129v1_CDS_0473","GCF_003143895.1_ASM314389v1_CDS_0867","GCF_000814165.3_ASM81416v3_CDS_0882","GCF_002082665.1_ASM208266v1_CDS_1062","GCA_003359375.2_ASM335937v2_CDS_1328" "GCA_003359375.2_ASM335937v2_CDS_1329","GCA_003359395.2_ASM335939v2_CDS_1382" "GCA_003359395.2_ASM335939v2_CDS_1381","GCA_003359355.2_ASM335935v2_CDS_1485","GCA_003359505.2_ASM335950v2_CDS_1252"
"GCF_003143895.1_ASM314389v1_CDS_0995","persistent","","10","15","1.5","NA","NA","","","","197","1442","839.4","GCA_003359435.2_ASM335943v2_CDS_1365","GCF_004295305.1_ASM429530v1_CDS_0974" "GCF_004295305.1_ASM429530v1_CDS_0976","GCF_002951295.1_ASM295129v1_CDS_0600","GCF_003143895.1_ASM314389v1_CDS_0995","GCF_000814165.3_ASM81416v3_CDS_1013","GCF_002082665.1_ASM208266v1_CDS_1191","GCA_003359375.2_ASM335937v2_CDS_1533" "GCA_003359375.2_ASM335937v2_CDS_1532","GCA_003359395.2_ASM335939v2_CDS_1598" "GCA_003359395.2_ASM335939v2_CDS_1597","GCA_003359355.2_ASM335935v2_CDS_1710" "GCA_003359355.2_ASM335935v2_CDS_1709","GCA_003359505.2_ASM335950v2_CDS_1440" "GCA_003359505.2_ASM335950v2_CDS_1439"
"GCF_003143895.1_ASM314389v1_CDS_1123","cloud","","1","1","1.0","NA","NA","","","","1091","1091","1091.0","","","","GCF_003143895.1_ASM314389v1_CDS_1123","","","","","",""
"GCF_003143895.1_ASM314389v1_CDS_1155","cloud","","1","1","1.0","NA","NA","","","","161","161","161.0","","","","GCF_003143895.1_ASM314389v1_CDS_1155","","","","","",""
