"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000191145.1_ASM19114v1","GCA_003359215.2_ASM335921v2","GCA_003359295.2_ASM335929v2","GCF_001617545.1_ASM161754v1","GCF_001577285.1_ASM157728v1","GCA_003359275.2_ASM335927v2","GCA_003354845.1_ASM335484v1","GCA_003359315.2_ASM335931v2","GCA_003359305.2_ASM335930v2","GCA_003359225.2_ASM335922v2"
"GCF_000191145.1_ASM19114v1_CDS_2259","persistent","","10","18","1.8","NA","NA","","","","89","1715","944.67","GCF_000191145.1_ASM19114v1_CDS_2259","GCA_003359215.2_ASM335921v2_CDS_0930" "GCA_003359215.2_ASM335921v2_CDS_0929" "GCA_003359215.2_ASM335921v2_CDS_0928","GCA_003359295.2_ASM335929v2_CDS_0833" "GCA_003359295.2_ASM335929v2_CDS_0834","GCF_001617545.1_ASM161754v1_CDS_3509","GCF_001577285.1_ASM157728v1_CDS_0292","GCA_003359275.2_ASM335927v2_CDS_0890" "GCA_003359275.2_ASM335927v2_CDS_0888" "GCA_003359275.2_ASM335927v2_CDS_0889","GCA_003354845.1_ASM335484v1_CDS_0967" "GCA_003354845.1_ASM335484v1_CDS_0966","GCA_003359315.2_ASM335931v2_CDS_0948","GCA_003359305.2_ASM335930v2_CDS_1066" "GCA_003359305.2_ASM335930v2_CDS_1067","GCA_003359225.2_ASM335922v2_CDS_0997" "GCA_003359225.2_ASM335922v2_CDS_0998"
"GCA_003359275.2_ASM335927v2_CDS_0602","cloud","","1","1","1.0","NA","NA","","","","200","200","200.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_0602","","","",""
"GCA_003359275.2_ASM335927v2_CDS_0988","cloud","","1","1","1.0","NA","NA","","","","587","587","587.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_0988","","","",""
"GCA_003359275.2_ASM335927v2_CDS_1308","persistent","","10","10","1.0","NA","NA","","","","590","680","656.0","GCF_000191145.1_ASM19114v1_CDS_1961","GCA_003359215.2_ASM335921v2_CDS_1354","GCA_003359295.2_ASM335929v2_CDS_1227","GCF_001617545.1_ASM161754v1_CDS_3215","GCF_001577285.1_ASM157728v1_CDS_3656","GCA_003359275.2_ASM335927v2_CDS_1308","GCA_003354845.1_ASM335484v1_CDS_1398","GCA_003359315.2_ASM335931v2_CDS_1431","GCA_003359305.2_ASM335930v2_CDS_1561","GCA_003359225.2_ASM335922v2_CDS_1496"
"GCA_003359275.2_ASM335927v2_CDS_1372","persistent","","10","11","1.1","NA","NA","","","","494","1430","1305.09","GCF_000191145.1_ASM19114v1_CDS_1918","GCA_003359215.2_ASM335921v2_CDS_1417","GCA_003359295.2_ASM335929v2_CDS_1289","GCF_001617545.1_ASM161754v1_CDS_3112","GCF_001577285.1_ASM157728v1_CDS_3612","GCA_003359275.2_ASM335927v2_CDS_1372","GCA_003354845.1_ASM335484v1_CDS_1461","GCA_003359315.2_ASM335931v2_CDS_1499","GCA_003359305.2_ASM335930v2_CDS_1627","GCA_003359225.2_ASM335922v2_CDS_1559" "GCA_003359225.2_ASM335922v2_CDS_1560"
"GCA_003359275.2_ASM335927v2_CDS_1532","cloud","","1","1","1.0","NA","NA","","","","788","788","788.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1532","","","",""
"GCA_003359275.2_ASM335927v2_CDS_1628","cloud","","1","1","1.0","NA","NA","","","","986","986","986.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1628","","","",""
"GCA_003359275.2_ASM335927v2_CDS_1660","cloud","","1","1","1.0","NA","NA","","","","260","260","260.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1660","","","",""
"GCA_003359275.2_ASM335927v2_CDS_2428","cloud","","2","2","1.0","NA","NA","","","","485","485","485.0","","","GCA_003359295.2_ASM335929v2_CDS_2141","","","GCA_003359275.2_ASM335927v2_CDS_2428","","","",""
"GCA_003359275.2_ASM335927v2_CDS_2620","persistent","","10","12","1.2","NA","NA","","","","347","1265","1042.5","GCF_000191145.1_ASM19114v1_CDS_1104","GCA_003359215.2_ASM335921v2_CDS_2529","GCA_003359295.2_ASM335929v2_CDS_2306","GCF_001617545.1_ASM161754v1_CDS_2209","GCF_001577285.1_ASM157728v1_CDS_2787","GCA_003359275.2_ASM335927v2_CDS_2620","GCA_003354845.1_ASM335484v1_CDS_2855" "GCA_003354845.1_ASM335484v1_CDS_2854","GCA_003359315.2_ASM335931v2_CDS_2678","GCA_003359305.2_ASM335930v2_CDS_3122","GCA_003359225.2_ASM335922v2_CDS_2760" "GCA_003359225.2_ASM335922v2_CDS_2759"
"GCA_003359275.2_ASM335927v2_CDS_3356","cloud","","1","1","1.0","NA","NA","","","","281","281","281.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_3356","","","",""
"GCA_003359275.2_ASM335927v2_CDS_3484","cloud","","1","1","1.0","NA","NA","","","","473","473","473.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_3484","","","",""
"GCA_003359275.2_ASM335927v2_CDS_3580","cloud","","1","1","1.0","NA","NA","","","","200","200","200.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_3580","","","",""
"GCA_003359295.2_ASM335929v2_CDS_4356","cloud","","2","4","2.0","NA","NA","","","","293","1466","660.5","","","GCA_003359295.2_ASM335929v2_CDS_2851" "GCA_003359295.2_ASM335929v2_CDS_4356" "GCA_003359295.2_ASM335929v2_CDS_2853","","","","","","","GCA_003359225.2_ASM335922v2_CDS_6031"
"GCA_003359295.2_ASM335929v2_CDS_4453","persistent","","6","6","1.0","NA","NA","","","","737","788","779.5","GCF_000191145.1_ASM19114v1_CDS_3043","","GCA_003359295.2_ASM335929v2_CDS_4453","","GCF_001577285.1_ASM157728v1_CDS_1113","GCA_003359275.2_ASM335927v2_CDS_5040","GCA_003354845.1_ASM335484v1_CDS_5353","GCA_003359315.2_ASM335931v2_CDS_4991","",""
"GCA_003359295.2_ASM335929v2_CDS_4613","persistent","","10","15","1.5","NA","NA","","","","146","1133","734.2","GCF_000191145.1_ASM19114v1_CDS_2928","GCA_003359215.2_ASM335921v2_CDS_5173" "GCA_003359215.2_ASM335921v2_CDS_5174","GCA_003359295.2_ASM335929v2_CDS_4613","GCF_001617545.1_ASM161754v1_CDS_0469","GCF_001577285.1_ASM157728v1_CDS_0995","GCA_003359275.2_ASM335927v2_CDS_5216" "GCA_003359275.2_ASM335927v2_CDS_5215" "GCA_003359275.2_ASM335927v2_CDS_5214","GCA_003354845.1_ASM335484v1_CDS_5521","GCA_003359315.2_ASM335931v2_CDS_5158","GCA_003359305.2_ASM335930v2_CDS_6204" "GCA_003359305.2_ASM335930v2_CDS_6203","GCA_003359225.2_ASM335922v2_CDS_5375" "GCA_003359225.2_ASM335922v2_CDS_5374"
"GCA_003359295.2_ASM335929v2_CDS_4742","cloud","","1","1","1.0","NA","NA","","","","341","341","341.0","","","GCA_003359295.2_ASM335929v2_CDS_4742","","","","","","",""
"GCA_003359295.2_ASM335929v2_CDS_4774","cloud","","1","1","1.0","NA","NA","","","","329","329","329.0","","","GCA_003359295.2_ASM335929v2_CDS_4774","","","","","","",""
"GCA_003359295.2_ASM335929v2_CDS_4806","cloud","","1","1","1.0","NA","NA","","","","275","275","275.0","","","GCA_003359295.2_ASM335929v2_CDS_4806","","","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_0062","cloud","","3","3","1.0","NA","NA","","","","548","548","548.0","GCF_000191145.1_ASM19114v1_CDS_2872","","","GCF_001617545.1_ASM161754v1_CDS_0062","GCF_001577285.1_ASM157728v1_CDS_0889","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_0222","cloud","","2","2","1.0","NA","NA","","","","956","956","956.0","GCF_000191145.1_ASM19114v1_CDS_2708","","","GCF_001617545.1_ASM161754v1_CDS_0222","","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_0254","cloud","","2","2","1.0","NA","NA","","","","335","335","335.0","","","","GCF_001617545.1_ASM161754v1_CDS_0254","GCF_001577285.1_ASM157728v1_CDS_0662","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_0510","cloud","","1","1","1.0","NA","NA","","","","608","608","608.0","","","","GCF_001617545.1_ASM161754v1_CDS_0510","","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_0574","persistent","","9","16","1.78","NA","NA","","","","200","3746","1769.19","GCF_000191145.1_ASM19114v1_CDS_3030","GCA_003359215.2_ASM335921v2_CDS_5008" "GCA_003359215.2_ASM335921v2_CDS_5009","","GCF_001617545.1_ASM161754v1_CDS_0574","GCF_001577285.1_ASM157728v1_CDS_1100","GCA_003359275.2_ASM335927v2_CDS_5060","GCA_003354845.1_ASM335484v1_CDS_5374" "GCA_003354845.1_ASM335484v1_CDS_5373","GCA_003359315.2_ASM335931v2_CDS_5005","GCA_003359305.2_ASM335930v2_CDS_6023" "GCA_003359305.2_ASM335930v2_CDS_6020" "GCA_003359305.2_ASM335930v2_CDS_6022" "GCA_003359305.2_ASM335930v2_CDS_6021","GCA_003359225.2_ASM335922v2_CDS_5222" "GCA_003359225.2_ASM335922v2_CDS_5223" "GCA_003359225.2_ASM335922v2_CDS_5221"
"GCF_001617545.1_ASM161754v1_CDS_1279","cloud","","1","1","1.0","NA","NA","","","","2417","2417","2417.0","","","","GCF_001617545.1_ASM161754v1_CDS_1279","","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_1311","cloud","","4","7","1.75","NA","NA","","","","458","2651","1024.57","","GCA_003359215.2_ASM335921v2_CDS_3918" "GCA_003359215.2_ASM335921v2_CDS_3919" "GCA_003359215.2_ASM335921v2_CDS_3917","","GCF_001617545.1_ASM161754v1_CDS_1311","","GCA_003359275.2_ASM335927v2_CDS_3962","","","","GCA_003359225.2_ASM335922v2_CDS_4096" "GCA_003359225.2_ASM335922v2_CDS_4095"
"GCF_001617545.1_ASM161754v1_CDS_1471","cloud","","1","1","1.0","NA","NA","","","","1313","1313","1313.0","","","","GCF_001617545.1_ASM161754v1_CDS_1471","","","","","",""
"GCF_001617545.1_ASM161754v1_CDS_1536","persistent","","10","12","1.2","NA","NA","","","","554","1685","1232.75","GCF_000191145.1_ASM19114v1_CDS_0399","GCA_003359215.2_ASM335921v2_CDS_3565","GCA_003359295.2_ASM335929v2_CDS_3146","GCF_001617545.1_ASM161754v1_CDS_1536","GCF_001577285.1_ASM157728v1_CDS_2149","GCA_003359275.2_ASM335927v2_CDS_3642" "GCA_003359275.2_ASM335927v2_CDS_3643","GCA_003354845.1_ASM335484v1_CDS_3836","GCA_003359315.2_ASM335931v2_CDS_3638","GCA_003359305.2_ASM335930v2_CDS_4385","GCA_003359225.2_ASM335922v2_CDS_3773" "GCA_003359225.2_ASM335922v2_CDS_3772"
"GCF_001617545.1_ASM161754v1_CDS_1888","persistent","","9","14","1.56","NA","NA","","","","353","3464","1297.36","GCF_000191145.1_ASM19114v1_CDS_0771","GCA_003359215.2_ASM335921v2_CDS_2974","GCA_003359295.2_ASM335929v2_CDS_2745","GCF_001617545.1_ASM161754v1_CDS_1888","GCF_001577285.1_ASM157728v1_CDS_2457","GCA_003359275.2_ASM335927v2_CDS_3087" "GCA_003359275.2_ASM335927v2_CDS_3088","GCA_003354845.1_ASM335484v1_CDS_3315","GCA_003359315.2_ASM335931v2_CDS_3138" "GCA_003359315.2_ASM335931v2_CDS_3139" "GCA_003359315.2_ASM335931v2_CDS_3137","","GCA_003359225.2_ASM335922v2_CDS_3254" "GCA_003359225.2_ASM335922v2_CDS_3251" "GCA_003359225.2_ASM335922v2_CDS_3252"
"GCF_001617545.1_ASM161754v1_CDS_2272","cloud","","1","1","1.0","NA","NA","","","","407","407","407.0","","","","GCF_001617545.1_ASM161754v1_CDS_2272","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_0629","cloud","","1","1","1.0","NA","NA","","","","743","743","743.0","GCF_000191145.1_ASM19114v1_CDS_0629","","","","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_1077","cloud","","1","1","1.0","NA","NA","","","","854","854","854.0","GCF_000191145.1_ASM19114v1_CDS_1077","","","","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_1141","persistent","","10","17","1.7","NA","NA","","","","119","734","416.18","GCF_000191145.1_ASM19114v1_CDS_1141","GCA_003359215.2_ASM335921v2_CDS_2471" "GCA_003359215.2_ASM335921v2_CDS_2472","GCA_003359295.2_ASM335929v2_CDS_2255","GCF_001617545.1_ASM161754v1_CDS_2248","GCF_001577285.1_ASM157728v1_CDS_2827","GCA_003359275.2_ASM335927v2_CDS_2568" "GCA_003359275.2_ASM335927v2_CDS_2566" "GCA_003359275.2_ASM335927v2_CDS_2567","GCA_003354845.1_ASM335484v1_CDS_2797" "GCA_003354845.1_ASM335484v1_CDS_2796","GCA_003359315.2_ASM335931v2_CDS_2620" "GCA_003359315.2_ASM335931v2_CDS_2621","GCA_003359305.2_ASM335930v2_CDS_3060" "GCA_003359305.2_ASM335930v2_CDS_3061","GCA_003359225.2_ASM335922v2_CDS_2703" "GCA_003359225.2_ASM335922v2_CDS_2702"
"GCF_000191145.1_ASM19114v1_CDS_1173","cloud","","3","6","2.0","NA","NA","","","","131","2273","995.0","GCF_000191145.1_ASM19114v1_CDS_1173" "GCF_000191145.1_ASM19114v1_CDS_1172","","","","","","GCA_003354845.1_ASM335484v1_CDS_2753" "GCA_003354845.1_ASM335484v1_CDS_2754","","GCA_003359305.2_ASM335930v2_CDS_3003" "GCA_003359305.2_ASM335930v2_CDS_3004",""
"GCF_000191145.1_ASM19114v1_CDS_1525","persistent","","10","13","1.3","NA","NA","","","","140","1781","1344.85","GCF_000191145.1_ASM19114v1_CDS_1525","GCA_003359215.2_ASM335921v2_CDS_2015","GCA_003359295.2_ASM335929v2_CDS_1848","GCF_001617545.1_ASM161754v1_CDS_2663","GCF_001577285.1_ASM157728v1_CDS_3167","GCA_003359275.2_ASM335927v2_CDS_2084","GCA_003354845.1_ASM335484v1_CDS_2155" "GCA_003354845.1_ASM335484v1_CDS_2153" "GCA_003354845.1_ASM335484v1_CDS_2154","GCA_003359315.2_ASM335931v2_CDS_2166","GCA_003359305.2_ASM335930v2_CDS_2349" "GCA_003359305.2_ASM335930v2_CDS_2350","GCA_003359225.2_ASM335922v2_CDS_2249"
"GCF_000191145.1_ASM19114v1_CDS_1589","persistent","","10","11","1.1","NA","NA","","","","110","509","308.55","GCF_000191145.1_ASM19114v1_CDS_1589","GCA_003359215.2_ASM335921v2_CDS_1920","GCA_003359295.2_ASM335929v2_CDS_1762" "GCA_003359295.2_ASM335929v2_CDS_1761","GCF_001617545.1_ASM161754v1_CDS_2726","GCF_001577285.1_ASM157728v1_CDS_3238","GCA_003359275.2_ASM335927v2_CDS_1996","GCA_003354845.1_ASM335484v1_CDS_2070","GCA_003359315.2_ASM335931v2_CDS_2069","GCA_003359305.2_ASM335930v2_CDS_2259","GCA_003359225.2_ASM335922v2_CDS_2143"
"GCF_000191145.1_ASM19114v1_CDS_1685","cloud","","2","2","1.0","NA","NA","","","","1277","1277","1277.0","GCF_000191145.1_ASM19114v1_CDS_1685","","","","","","GCA_003354845.1_ASM335484v1_CDS_1926","","",""
"GCF_000191145.1_ASM19114v1_CDS_1909","persistent","","10","13","1.3","NA","NA","","","","323","2192","1412.23","GCF_000191145.1_ASM19114v1_CDS_1909","GCA_003359215.2_ASM335921v2_CDS_1432","GCA_003359295.2_ASM335929v2_CDS_1303","GCF_001617545.1_ASM161754v1_CDS_3103","GCF_001577285.1_ASM157728v1_CDS_3601","GCA_003359275.2_ASM335927v2_CDS_1390","GCA_003354845.1_ASM335484v1_CDS_1475" "GCA_003354845.1_ASM335484v1_CDS_1474","GCA_003359315.2_ASM335931v2_CDS_1516","GCA_003359305.2_ASM335930v2_CDS_1647" "GCA_003359305.2_ASM335930v2_CDS_1648" "GCA_003359305.2_ASM335930v2_CDS_1649","GCA_003359225.2_ASM335922v2_CDS_1574"
"GCF_000191145.1_ASM19114v1_CDS_1941","persistent","","10","11","1.1","NA","NA","","","","482","1301","938.0","GCF_000191145.1_ASM19114v1_CDS_1941","GCA_003359215.2_ASM335921v2_CDS_1382","GCA_003359295.2_ASM335929v2_CDS_1255","GCF_001617545.1_ASM161754v1_CDS_3135","GCF_001577285.1_ASM157728v1_CDS_3636","GCA_003359275.2_ASM335927v2_CDS_1335","GCA_003354845.1_ASM335484v1_CDS_1428","GCA_003359315.2_ASM335931v2_CDS_1463","GCA_003359305.2_ASM335930v2_CDS_1592" "GCA_003359305.2_ASM335930v2_CDS_1591","GCA_003359225.2_ASM335922v2_CDS_1525"
"GCF_000191145.1_ASM19114v1_CDS_2101","persistent","","8","16","2.0","NA","NA","","","","506","9830","3434.38","GCF_000191145.1_ASM19114v1_CDS_2101","","GCA_003359295.2_ASM335929v2_CDS_1040","GCF_001617545.1_ASM161754v1_CDS_3357","GCF_001577285.1_ASM157728v1_CDS_0103","GCA_003359275.2_ASM335927v2_CDS_1114" "GCA_003359275.2_ASM335927v2_CDS_1113" "GCA_003359275.2_ASM335927v2_CDS_1111" "GCA_003359275.2_ASM335927v2_CDS_1112","","GCA_003359315.2_ASM335931v2_CDS_1191" "GCA_003359315.2_ASM335931v2_CDS_1194" "GCA_003359315.2_ASM335931v2_CDS_1196" "GCA_003359315.2_ASM335931v2_CDS_1197","GCA_003359305.2_ASM335930v2_CDS_1347" "GCA_003359305.2_ASM335930v2_CDS_1346" "GCA_003359305.2_ASM335930v2_CDS_1348","GCA_003359225.2_ASM335922v2_CDS_1254"
"GCF_000191145.1_ASM19114v1_CDS_2133","cloud","","1","1","1.0","NA","NA","","","","7211","7211","7211.0","GCF_000191145.1_ASM19114v1_CDS_2133","","","","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_2197","persistent","","10","18","1.8","NA","NA","","","","152","1259","642.67","GCF_000191145.1_ASM19114v1_CDS_2197","GCA_003359215.2_ASM335921v2_CDS_1020" "GCA_003359215.2_ASM335921v2_CDS_1019" "GCA_003359215.2_ASM335921v2_CDS_1018","GCA_003359295.2_ASM335929v2_CDS_0918","GCF_001617545.1_ASM161754v1_CDS_3438","GCF_001577285.1_ASM157728v1_CDS_0201","GCA_003359275.2_ASM335927v2_CDS_0976" "GCA_003359275.2_ASM335927v2_CDS_0975","GCA_003354845.1_ASM335484v1_CDS_1064" "GCA_003354845.1_ASM335484v1_CDS_1066","GCA_003359315.2_ASM335931v2_CDS_1044" "GCA_003359315.2_ASM335931v2_CDS_1042" "GCA_003359315.2_ASM335931v2_CDS_1043","GCA_003359305.2_ASM335930v2_CDS_1175","GCA_003359225.2_ASM335922v2_CDS_1099" "GCA_003359225.2_ASM335922v2_CDS_1101" "GCA_003359225.2_ASM335922v2_CDS_1100"
"GCF_000191145.1_ASM19114v1_CDS_2325","cloud","","3","5","1.67","NA","NA","","","","530","1838","1106.6","GCF_000191145.1_ASM19114v1_CDS_2325","","","GCF_001617545.1_ASM161754v1_CDS_3566","","","GCA_003354845.1_ASM335484v1_CDS_0869" "GCA_003354845.1_ASM335484v1_CDS_0871" "GCA_003354845.1_ASM335484v1_CDS_0870","","",""
"GCF_000191145.1_ASM19114v1_CDS_2613","persistent","","10","13","1.3","NA","NA","","","","260","1031","663.15","GCF_000191145.1_ASM19114v1_CDS_2613","GCA_003359215.2_ASM335921v2_CDS_0494" "GCA_003359215.2_ASM335921v2_CDS_0495","GCA_003359295.2_ASM335929v2_CDS_0462","GCF_001617545.1_ASM161754v1_CDS_0321","GCF_001577285.1_ASM157728v1_CDS_0595","GCA_003359275.2_ASM335927v2_CDS_0453","GCA_003354845.1_ASM335484v1_CDS_0546" "GCA_003354845.1_ASM335484v1_CDS_0545","GCA_003359315.2_ASM335931v2_CDS_0521","GCA_003359305.2_ASM335930v2_CDS_0517" "GCA_003359305.2_ASM335930v2_CDS_0518","GCA_003359225.2_ASM335922v2_CDS_0578"
"GCF_000191145.1_ASM19114v1_CDS_2965","cloud","","1","1","1.0","NA","NA","","","","1106","1106","1106.0","GCF_000191145.1_ASM19114v1_CDS_2965","","","","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_2997","cloud","","2","2","1.0","NA","NA","","","","437","515","476.0","GCF_000191145.1_ASM19114v1_CDS_2997","","","","","","GCA_003354845.1_ASM335484v1_CDS_5421","","",""
"GCF_000191145.1_ASM19114v1_CDS_3221","cloud","","1","1","1.0","NA","NA","","","","191","191","191.0","GCF_000191145.1_ASM19114v1_CDS_3221","","","","","","","","",""
"GCF_000191145.1_ASM19114v1_CDS_3413","cloud","","5","11","2.2","NA","NA","","","","314","2315","1036.45","GCF_000191145.1_ASM19114v1_CDS_3413","GCA_003359215.2_ASM335921v2_CDS_4413" "GCA_003359215.2_ASM335921v2_CDS_4412" "GCA_003359215.2_ASM335921v2_CDS_4414" "GCA_003359215.2_ASM335921v2_CDS_4415","","GCF_001617545.1_ASM161754v1_CDS_0951","GCF_001577285.1_ASM157728v1_CDS_1515","","","","GCA_003359305.2_ASM335930v2_CDS_5430" "GCA_003359305.2_ASM335930v2_CDS_5431" "GCA_003359305.2_ASM335930v2_CDS_5433" "GCA_003359305.2_ASM335930v2_CDS_5432",""
"GCF_000191145.1_ASM19114v1_CDS_3445","persistent","","10","16","1.6","NA","NA","","","","95","812","505.06","GCF_000191145.1_ASM19114v1_CDS_3445","GCA_003359215.2_ASM335921v2_CDS_4369" "GCA_003359215.2_ASM335921v2_CDS_4370","GCA_003359295.2_ASM335929v2_CDS_3947","GCF_001617545.1_ASM161754v1_CDS_0982","GCF_001577285.1_ASM157728v1_CDS_1588","GCA_003359275.2_ASM335927v2_CDS_4526","GCA_003354845.1_ASM335484v1_CDS_4793","GCA_003359315.2_ASM335931v2_CDS_4466" "GCA_003359315.2_ASM335931v2_CDS_4467","GCA_003359305.2_ASM335930v2_CDS_5380" "GCA_003359305.2_ASM335930v2_CDS_5381" "GCA_003359305.2_ASM335930v2_CDS_5379","GCA_003359225.2_ASM335922v2_CDS_4653" "GCA_003359225.2_ASM335922v2_CDS_4654" "GCA_003359225.2_ASM335922v2_CDS_4655"
"GCA_003359215.2_ASM335921v2_CDS_0025","cloud","","1","1","1.0","NA","NA","","","","194","194","194.0","","GCA_003359215.2_ASM335921v2_CDS_0025","","","","","","","",""
"GCA_003359215.2_ASM335921v2_CDS_0058","cloud","","1","1","1.0","NA","NA","","","","221","221","221.0","","GCA_003359215.2_ASM335921v2_CDS_0058","","","","","","","",""
"GCF_001577285.1_ASM157728v1_CDS_2843","persistent","","8","11","1.38","NA","NA","","","","128","995","644.82","GCF_000191145.1_ASM19114v1_CDS_1202","GCA_003359215.2_ASM335921v2_CDS_2445" "GCA_003359215.2_ASM335921v2_CDS_2444","GCA_003359295.2_ASM335929v2_CDS_2252","","GCF_001577285.1_ASM157728v1_CDS_2843","GCA_003359275.2_ASM335927v2_CDS_2554" "GCA_003359275.2_ASM335927v2_CDS_2555","GCA_003354845.1_ASM335484v1_CDS_2654","GCA_003359315.2_ASM335931v2_CDS_2612","GCA_003359305.2_ASM335930v2_CDS_2970" "GCA_003359305.2_ASM335930v2_CDS_2969",""
"GCF_001577285.1_ASM157728v1_CDS_2875","cloud","","4","5","1.25","NA","NA","","","","89","971","765.2","GCF_000191145.1_ASM19114v1_CDS_1245","","","","GCF_001577285.1_ASM157728v1_CDS_2875","","GCA_003354845.1_ASM335484v1_CDS_2602","","GCA_003359305.2_ASM335930v2_CDS_2926" "GCA_003359305.2_ASM335930v2_CDS_2927",""
"GCF_001577285.1_ASM157728v1_CDS_3355","persistent","","9","13","1.44","NA","NA","","","","143","563","341.92","GCF_000191145.1_ASM19114v1_CDS_1709","GCA_003359215.2_ASM335921v2_CDS_1751","GCA_003359295.2_ASM335929v2_CDS_1626" "GCA_003359295.2_ASM335929v2_CDS_1625","GCF_001617545.1_ASM161754v1_CDS_2833","GCF_001577285.1_ASM157728v1_CDS_3355","GCA_003359275.2_ASM335927v2_CDS_1844" "GCA_003359275.2_ASM335927v2_CDS_1843","GCA_003354845.1_ASM335484v1_CDS_1886","","GCA_003359305.2_ASM335930v2_CDS_2060" "GCA_003359305.2_ASM335930v2_CDS_2061","GCA_003359225.2_ASM335922v2_CDS_1954" "GCA_003359225.2_ASM335922v2_CDS_1953"
"GCF_001577285.1_ASM157728v1_CDS_3707","cloud","","1","1","1.0","NA","NA","","","","176","176","176.0","","","","","GCF_001577285.1_ASM157728v1_CDS_3707","","","","",""
"GCF_001577285.1_ASM157728v1_CDS_3803","cloud","","1","1","1.0","NA","NA","","","","833","833","833.0","","","","","GCF_001577285.1_ASM157728v1_CDS_3803","","","","",""
"GCF_001577285.1_ASM157728v1_CDS_3835","cloud","","1","1","1.0","NA","NA","","","","206","206","206.0","","","","","GCF_001577285.1_ASM157728v1_CDS_3835","","","","",""
"GCF_001577285.1_ASM157728v1_CDS_3867","cloud","","1","1","1.0","NA","NA","","","","260","260","260.0","","","","","GCF_001577285.1_ASM157728v1_CDS_3867","","","","",""
"GCF_001577285.1_ASM157728v1_CDS_3899","cloud","","1","1","1.0","NA","NA","","","","3737","3737","3737.0","","","","","GCF_001577285.1_ASM157728v1_CDS_3899","","","","",""
"GCA_003359275.2_ASM335927v2_CDS_0476","cloud","","1","1","1.0","NA","NA","","","","710","710","710.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_0476","","","",""
"GCA_003359275.2_ASM335927v2_CDS_0669","persistent","","10","14","1.4","NA","NA","","","","116","1157","823.36","GCF_000191145.1_ASM19114v1_CDS_2461","GCA_003359215.2_ASM335921v2_CDS_0707" "GCA_003359215.2_ASM335921v2_CDS_0708","GCA_003359295.2_ASM335929v2_CDS_0646","GCF_001617545.1_ASM161754v1_CDS_3649","GCF_001577285.1_ASM157728v1_CDS_0447","GCA_003359275.2_ASM335927v2_CDS_0669","GCA_003354845.1_ASM335484v1_CDS_0744" "GCA_003354845.1_ASM335484v1_CDS_0743","GCA_003359315.2_ASM335931v2_CDS_0727","GCA_003359305.2_ASM335930v2_CDS_0750" "GCA_003359305.2_ASM335930v2_CDS_0749","GCA_003359225.2_ASM335922v2_CDS_0782" "GCA_003359225.2_ASM335922v2_CDS_0781"
"GCA_003359275.2_ASM335927v2_CDS_0958","persistent","","10","11","1.1","NA","NA","","","","200","998","745.73","GCF_000191145.1_ASM19114v1_CDS_2208","GCA_003359215.2_ASM335921v2_CDS_1001" "GCA_003359215.2_ASM335921v2_CDS_1000","GCA_003359295.2_ASM335929v2_CDS_0898","GCF_001617545.1_ASM161754v1_CDS_3458","GCF_001577285.1_ASM157728v1_CDS_0234","GCA_003359275.2_ASM335927v2_CDS_0958","GCA_003354845.1_ASM335484v1_CDS_1047","GCA_003359315.2_ASM335931v2_CDS_1024","GCA_003359305.2_ASM335930v2_CDS_1158","GCA_003359225.2_ASM335922v2_CDS_1077"
"GCA_003359275.2_ASM335927v2_CDS_1118","cloud","","3","3","1.0","NA","NA","","","","170","854","626.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1118","","GCA_003359315.2_ASM335931v2_CDS_1199","GCA_003359305.2_ASM335930v2_CDS_1349",""
"GCA_003359275.2_ASM335927v2_CDS_1534","cloud","","1","1","1.0","NA","NA","","","","293","293","293.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1534","","","",""
"GCA_003359275.2_ASM335927v2_CDS_1630","cloud","","1","1","1.0","NA","NA","","","","335","335","335.0","","","","","","GCA_003359275.2_ASM335927v2_CDS_1630","","","",""
"GCF_000191145.1_ASM19114v1_CDS_1078","cloud","","1","1","1.0","NA","NA","","","","839","839","839.0","GCF_000191145.1_ASM19114v1_CDS_1078","","","","","","","","",""
