"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Accessory Fragment","Genome Fragment","Order within Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_001278715.1_ASM127871v1","GCF_002165255.2_ASM216525v2","GCF_001647675.1_ASM164767v1","GCF_002688565.1_ASM268856v1","GCF_002934695.1_ASM293469v1","GCF_002165295.2_ASM216529v2","GCA_001581975.1_ASM158197v1","GCF_001612555.1_ASM161255v1","GCF_001696615.3_ASM169661v3","GCF_002165305.2_ASM216530v2"
"GCF_002165255.2_ASM216525v2_CDS_0420","cloud","","3","3","1.0","NA","NA","","","","758","770","765.0","","GCF_002165255.2_ASM216525v2_CDS_0420","","","","GCF_002165295.2_ASM216529v2_CDS_0464","GCA_001581975.1_ASM158197v1_CDS_3214","","",""
"GCF_002165255.2_ASM216525v2_CDS_0452","cloud","","1","1","1.0","NA","NA","","","","1010","1010","1010.0","","GCF_002165255.2_ASM216525v2_CDS_0452","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0550","persistent","","10","10","1.0","NA","NA","","","","251","251","251.0","GCF_001278715.1_ASM127871v1_CDS_1020","GCF_002165255.2_ASM216525v2_CDS_0550","GCF_001647675.1_ASM164767v1_CDS_0435","GCF_002688565.1_ASM268856v1_CDS_1544","GCF_002934695.1_ASM293469v1_CDS_2273","GCF_002165295.2_ASM216529v2_CDS_2673","GCA_001581975.1_ASM158197v1_CDS_3003","GCF_001612555.1_ASM161255v1_CDS_0639","GCF_001696615.3_ASM169661v3_CDS_1287","GCF_002165305.2_ASM216530v2_CDS_2577"
"GCF_002165255.2_ASM216525v2_CDS_0582","cloud","","1","1","1.0","NA","NA","","","","455","455","455.0","","GCF_002165255.2_ASM216525v2_CDS_0582","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0614","cloud","","1","1","1.0","NA","NA","","","","179","179","179.0","","GCF_002165255.2_ASM216525v2_CDS_0614","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0646","cloud","","1","1","1.0","NA","NA","","","","542","542","542.0","","GCF_002165255.2_ASM216525v2_CDS_0646","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0678","persistent","","10","10","1.0","NA","NA","","","","236","236","236.0","GCF_001278715.1_ASM127871v1_CDS_0949","GCF_002165255.2_ASM216525v2_CDS_0678","GCF_001647675.1_ASM164767v1_CDS_0494","GCF_002688565.1_ASM268856v1_CDS_0378","GCF_002934695.1_ASM293469v1_CDS_2184","GCF_002165295.2_ASM216529v2_CDS_0787","GCA_001581975.1_ASM158197v1_CDS_2856","GCF_001612555.1_ASM161255v1_CDS_2474","GCF_001696615.3_ASM169661v3_CDS_2538","GCF_002165305.2_ASM216530v2_CDS_0667"
"GCF_002165255.2_ASM216525v2_CDS_0775","cloud","","1","1","1.0","NA","NA","","","","1151","1151","1151.0","","GCF_002165255.2_ASM216525v2_CDS_0775","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0808","cloud","","1","1","1.0","NA","NA","","","","2402","2402","2402.0","","GCF_002165255.2_ASM216525v2_CDS_0808","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0936","cloud","","1","1","1.0","NA","NA","","","","308","308","308.0","","GCF_002165255.2_ASM216525v2_CDS_0936","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0968","persistent","","10","10","1.0","NA","NA","","","","506","515","509.3","GCF_001278715.1_ASM127871v1_CDS_0738","GCF_002165255.2_ASM216525v2_CDS_0968","GCF_001647675.1_ASM164767v1_CDS_1676","GCF_002688565.1_ASM268856v1_CDS_1787","GCF_002934695.1_ASM293469v1_CDS_0612","GCF_002165295.2_ASM216529v2_CDS_2275","GCA_001581975.1_ASM158197v1_CDS_2649","GCF_001612555.1_ASM161255v1_CDS_2335","GCF_001696615.3_ASM169661v3_CDS_2826","GCF_002165305.2_ASM216530v2_CDS_0799"
"GCF_002165255.2_ASM216525v2_CDS_1000","cloud","","1","1","1.0","NA","NA","","","","359","359","359.0","","GCF_002165255.2_ASM216525v2_CDS_1000","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1064","cloud","","4","4","1.0","NA","NA","","","","263","1280","769.25","","GCF_002165255.2_ASM216525v2_CDS_1064","","","GCF_002934695.1_ASM293469v1_CDS_3217","GCF_002165295.2_ASM216529v2_CDS_1049","","","GCF_001696615.3_ASM169661v3_CDS_0875",""
"GCF_002165255.2_ASM216525v2_CDS_1096","cloud","","1","1","1.0","NA","NA","","","","473","473","473.0","","GCF_002165255.2_ASM216525v2_CDS_1096","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1224","cloud","","1","1","1.0","NA","NA","","","","563","563","563.0","","GCF_002165255.2_ASM216525v2_CDS_1224","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1256","cloud","","1","1","1.0","NA","NA","","","","539","539","539.0","","GCF_002165255.2_ASM216525v2_CDS_1256","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1288","cloud","","1","1","1.0","NA","NA","","","","296","296","296.0","","GCF_002165255.2_ASM216525v2_CDS_1288","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1512","cloud","","2","2","1.0","NA","NA","","","","407","521","464.0","","GCF_002165255.2_ASM216525v2_CDS_1512","","","","","GCA_001581975.1_ASM158197v1_CDS_1537","","",""
"GCF_002165255.2_ASM216525v2_CDS_1544","cloud","","1","1","1.0","NA","NA","","","","4505","4505","4505.0","","GCF_002165255.2_ASM216525v2_CDS_1544","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1576","cloud","","1","1","1.0","NA","NA","","","","770","770","770.0","","GCF_002165255.2_ASM216525v2_CDS_1576","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1608","cloud","","1","1","1.0","NA","NA","","","","716","716","716.0","","GCF_002165255.2_ASM216525v2_CDS_1608","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1672","cloud","","1","1","1.0","NA","NA","","","","332","332","332.0","","GCF_002165255.2_ASM216525v2_CDS_1672","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1704","persistent","","10","10","1.0","NA","NA","","","","626","656","648.2","GCF_001278715.1_ASM127871v1_CDS_0583","GCF_002165255.2_ASM216525v2_CDS_1704","GCF_001647675.1_ASM164767v1_CDS_1546","GCF_002688565.1_ASM268856v1_CDS_1917","GCF_002934695.1_ASM293469v1_CDS_0752","GCF_002165295.2_ASM216529v2_CDS_1193","GCA_001581975.1_ASM158197v1_CDS_0988","GCF_001612555.1_ASM161255v1_CDS_1160","GCF_001696615.3_ASM169661v3_CDS_3099","GCF_002165305.2_ASM216530v2_CDS_1922"
"GCF_002165255.2_ASM216525v2_CDS_1768","cloud","","1","1","1.0","NA","NA","","","","893","893","893.0","","GCF_002165255.2_ASM216525v2_CDS_1768","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1800","cloud","","1","1","1.0","NA","NA","","","","1286","1286","1286.0","","GCF_002165255.2_ASM216525v2_CDS_1800","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1832","cloud","","1","1","1.0","NA","NA","","","","1109","1109","1109.0","","GCF_002165255.2_ASM216525v2_CDS_1832","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_1864","persistent","","10","10","1.0","NA","NA","","","","1166","1166","1166.0","GCF_001278715.1_ASM127871v1_CDS_2405","GCF_002165255.2_ASM216525v2_CDS_1864","GCF_001647675.1_ASM164767v1_CDS_0691","GCF_002688565.1_ASM268856v1_CDS_0141","GCF_002934695.1_ASM293469v1_CDS_1918","GCF_002165295.2_ASM216529v2_CDS_0913","GCA_001581975.1_ASM158197v1_CDS_0809","GCF_001612555.1_ASM161255v1_CDS_0906","GCF_001696615.3_ASM169661v3_CDS_1071","GCF_002165305.2_ASM216530v2_CDS_0771"
"GCF_002165305.2_ASM216530v2_CDS_3567","cloud","","1","1","1.0","NA","NA","","","","1178","1178","1178.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3567"
"GCF_002165305.2_ASM216530v2_CDS_3599","cloud","","4","4","1.0","NA","NA","","","","515","515","515.0","","GCF_002165255.2_ASM216525v2_CDS_2379","","","GCF_002934695.1_ASM293469v1_CDS_3366","","","","GCF_001696615.3_ASM169661v3_CDS_2950","GCF_002165305.2_ASM216530v2_CDS_3599"
"GCF_002165305.2_ASM216530v2_CDS_3631","cloud","","1","1","1.0","NA","NA","","","","461","461","461.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_3631"
"GCF_002165305.2_ASM216530v2_CDS_3695","cloud","","4","5","1.25","NA","NA","","","","884","884","884.0","","GCF_002165255.2_ASM216525v2_CDS_2889","","","","GCF_002165295.2_ASM216529v2_CDS_3331","","","GCF_001696615.3_ASM169661v3_CDS_3578","GCF_002165305.2_ASM216530v2_CDS_3695" "GCF_002165305.2_ASM216530v2_CDS_3308"
"GCF_001278715.1_ASM127871v1_CDS_0037","cloud","","1","1","1.0","NA","NA","","","","542","542","542.0","GCF_001278715.1_ASM127871v1_CDS_0037","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0069","shell","","6","16","2.67","NA","NA","","","","98","299","280.06","GCF_001278715.1_ASM127871v1_CDS_0069" "GCF_001278715.1_ASM127871v1_CDS_1893" "GCF_001278715.1_ASM127871v1_CDS_1450" "GCF_001278715.1_ASM127871v1_CDS_1760","GCF_002165255.2_ASM216525v2_CDS_0843","","","GCF_002934695.1_ASM293469v1_CDS_1980" "GCF_002934695.1_ASM293469v1_CDS_0935" "GCF_002934695.1_ASM293469v1_CDS_3361","","","GCF_001612555.1_ASM161255v1_CDS_2266","GCF_001696615.3_ASM169661v3_CDS_2599" "GCF_001696615.3_ASM169661v3_CDS_2939" "GCF_001696615.3_ASM169661v3_CDS_2455" "GCF_001696615.3_ASM169661v3_CDS_2601" "GCF_001696615.3_ASM169661v3_CDS_2007","GCF_002165305.2_ASM216530v2_CDS_3583" "GCF_002165305.2_ASM216530v2_CDS_3496"
"GCF_001278715.1_ASM127871v1_CDS_0101","cloud","","1","1","1.0","NA","NA","","","","464","464","464.0","GCF_001278715.1_ASM127871v1_CDS_0101","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0261","cloud","","1","1","1.0","NA","NA","","","","1649","1649","1649.0","GCF_001278715.1_ASM127871v1_CDS_0261","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0293","persistent","","9","9","1.0","NA","NA","","","","1670","1673","1670.33","GCF_001278715.1_ASM127871v1_CDS_0293","","GCF_001647675.1_ASM164767v1_CDS_1335","GCF_002688565.1_ASM268856v1_CDS_2251","GCF_002934695.1_ASM293469v1_CDS_1045","GCF_002165295.2_ASM216529v2_CDS_1376","GCA_001581975.1_ASM158197v1_CDS_1505","GCF_001612555.1_ASM161255v1_CDS_1422","GCF_001696615.3_ASM169661v3_CDS_0413","GCF_002165305.2_ASM216530v2_CDS_1460"
"GCF_001278715.1_ASM127871v1_CDS_0325","persistent","","10","10","1.0","NA","NA","","","","2162","2165","2163.2","GCF_001278715.1_ASM127871v1_CDS_0325","GCF_002165255.2_ASM216525v2_CDS_1345","GCF_001647675.1_ASM164767v1_CDS_1365","GCF_002688565.1_ASM268856v1_CDS_2220","GCF_002934695.1_ASM293469v1_CDS_1011","GCF_002165295.2_ASM216529v2_CDS_1457","GCA_001581975.1_ASM158197v1_CDS_2022","GCF_001612555.1_ASM161255v1_CDS_1323","GCF_001696615.3_ASM169661v3_CDS_0447","GCF_002165305.2_ASM216530v2_CDS_1426"
"GCF_001278715.1_ASM127871v1_CDS_0357","cloud","","1","1","1.0","NA","NA","","","","1304","1304","1304.0","GCF_001278715.1_ASM127871v1_CDS_0357","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0389","cloud","","1","1","1.0","NA","NA","","","","152","152","152.0","GCF_001278715.1_ASM127871v1_CDS_0389","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0421","persistent","","10","10","1.0","NA","NA","","","","383","401","393.5","GCF_001278715.1_ASM127871v1_CDS_0421","GCF_002165255.2_ASM216525v2_CDS_0840","GCF_001647675.1_ASM164767v1_CDS_0926","GCF_002688565.1_ASM268856v1_CDS_2846","GCF_002934695.1_ASM293469v1_CDS_1624","GCF_002165295.2_ASM216529v2_CDS_2129","GCA_001581975.1_ASM158197v1_CDS_1035","GCF_001612555.1_ASM161255v1_CDS_1050","GCF_001696615.3_ASM169661v3_CDS_3192","GCF_002165305.2_ASM216530v2_CDS_1344"
"GCF_001278715.1_ASM127871v1_CDS_0453","cloud","","1","1","1.0","NA","NA","","","","197","197","197.0","GCF_001278715.1_ASM127871v1_CDS_0453","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0485","cloud","","1","1","1.0","NA","NA","","","","371","371","371.0","GCF_001278715.1_ASM127871v1_CDS_0485","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0613","cloud","","1","1","1.0","NA","NA","","","","575","575","575.0","GCF_001278715.1_ASM127871v1_CDS_0613","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0677","cloud","","1","1","1.0","NA","NA","","","","353","353","353.0","GCF_001278715.1_ASM127871v1_CDS_0677","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0805","cloud","","1","1","1.0","NA","NA","","","","1202","1202","1202.0","GCF_001278715.1_ASM127871v1_CDS_0805","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0837","cloud","","1","1","1.0","NA","NA","","","","1280","1280","1280.0","GCF_001278715.1_ASM127871v1_CDS_0837","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0869","cloud","","1","1","1.0","NA","NA","","","","1151","1151","1151.0","GCF_001278715.1_ASM127871v1_CDS_0869","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0965","cloud","","1","1","1.0","NA","NA","","","","623","623","623.0","GCF_001278715.1_ASM127871v1_CDS_0965","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_0997","cloud","","1","1","1.0","NA","NA","","","","1853","1853","1853.0","GCF_001278715.1_ASM127871v1_CDS_0997","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1030","persistent","","6","6","1.0","NA","NA","","","","821","827","822.0","GCF_001278715.1_ASM127871v1_CDS_1030","","GCF_001647675.1_ASM164767v1_CDS_1907","GCF_002688565.1_ASM268856v1_CDS_1535","GCF_002934695.1_ASM293469v1_CDS_0321","","","","GCF_001696615.3_ASM169661v3_CDS_1298","GCF_002165305.2_ASM216530v2_CDS_2591"
"GCF_001278715.1_ASM127871v1_CDS_1062","cloud","","1","1","1.0","NA","NA","","","","1991","1991","1991.0","GCF_001278715.1_ASM127871v1_CDS_1062","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1254","persistent","","10","10","1.0","NA","NA","","","","644","644","644.0","GCF_001278715.1_ASM127871v1_CDS_1254","GCF_002165255.2_ASM216525v2_CDS_2299","GCF_001647675.1_ASM164767v1_CDS_0219","GCF_002688565.1_ASM268856v1_CDS_0725","GCF_002934695.1_ASM293469v1_CDS_2534","GCF_002165295.2_ASM216529v2_CDS_2938","GCA_001581975.1_ASM158197v1_CDS_3301","GCF_001612555.1_ASM161255v1_CDS_2854","GCF_001696615.3_ASM169661v3_CDS_2151","GCF_002165305.2_ASM216530v2_CDS_2812"
"GCF_001278715.1_ASM127871v1_CDS_1286","cloud","","1","1","1.0","NA","NA","","","","680","680","680.0","GCF_001278715.1_ASM127871v1_CDS_1286","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1350","persistent","","10","10","1.0","NA","NA","","","","1292","1304","1294.4","GCF_001278715.1_ASM127871v1_CDS_1350","GCF_002165255.2_ASM216525v2_CDS_2462","GCF_001647675.1_ASM164767v1_CDS_2274","GCF_002688565.1_ASM268856v1_CDS_1246","GCF_002934695.1_ASM293469v1_CDS_3122","GCF_002165295.2_ASM216529v2_CDS_3103","GCA_001581975.1_ASM158197v1_CDS_3465","GCF_001612555.1_ASM161255v1_CDS_0179","GCF_001696615.3_ASM169661v3_CDS_1637","GCF_002165305.2_ASM216530v2_CDS_2965"
"GCF_001278715.1_ASM127871v1_CDS_1415","cloud","","1","1","1.0","NA","NA","","","","692","692","692.0","GCF_001278715.1_ASM127871v1_CDS_1415","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1479","cloud","","1","1","1.0","NA","NA","","","","848","848","848.0","GCF_001278715.1_ASM127871v1_CDS_1479","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1543","cloud","","1","1","1.0","NA","NA","","","","260","260","260.0","GCF_001278715.1_ASM127871v1_CDS_1543","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1577","cloud","","1","1","1.0","NA","NA","","","","2633","2633","2633.0","GCF_001278715.1_ASM127871v1_CDS_1577","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1675","cloud","","1","1","1.0","NA","NA","","","","584","584","584.0","GCF_001278715.1_ASM127871v1_CDS_1675","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1771","cloud","","1","1","1.0","NA","NA","","","","1400","1400","1400.0","GCF_001278715.1_ASM127871v1_CDS_1771","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1804","persistent","","10","10","1.0","NA","NA","","","","758","758","758.0","GCF_001278715.1_ASM127871v1_CDS_1804","GCF_002165255.2_ASM216525v2_CDS_0200","GCF_001647675.1_ASM164767v1_CDS_0109","GCF_002688565.1_ASM268856v1_CDS_0828","GCF_002934695.1_ASM293469v1_CDS_2655","GCF_002165295.2_ASM216529v2_CDS_0220","GCA_001581975.1_ASM158197v1_CDS_0258","GCF_001612555.1_ASM161255v1_CDS_2948","GCF_001696615.3_ASM169661v3_CDS_2025","GCF_002165305.2_ASM216530v2_CDS_0207"
"GCF_001278715.1_ASM127871v1_CDS_1836","cloud","","1","1","1.0","NA","NA","","","","428","428","428.0","GCF_001278715.1_ASM127871v1_CDS_1836","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_1996","cloud","","1","1","1.0","NA","NA","","","","764","764","764.0","GCF_001278715.1_ASM127871v1_CDS_1996","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2060","cloud","","1","1","1.0","NA","NA","","","","527","527","527.0","GCF_001278715.1_ASM127871v1_CDS_2060","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2093","cloud","","1","1","1.0","NA","NA","","","","1151","1151","1151.0","GCF_001278715.1_ASM127871v1_CDS_2093","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2125","cloud","","1","1","1.0","NA","NA","","","","866","866","866.0","GCF_001278715.1_ASM127871v1_CDS_2125","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2157","cloud","","1","1","1.0","NA","NA","","","","764","764","764.0","GCF_001278715.1_ASM127871v1_CDS_2157","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2189","cloud","","1","1","1.0","NA","NA","","","","359","359","359.0","GCF_001278715.1_ASM127871v1_CDS_2189","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2222","cloud","","1","1","1.0","NA","NA","","","","1892","1892","1892.0","GCF_001278715.1_ASM127871v1_CDS_2222","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2254","persistent","","10","10","1.0","NA","NA","","","","812","812","812.0","GCF_001278715.1_ASM127871v1_CDS_2254","GCF_002165255.2_ASM216525v2_CDS_0743","GCF_001647675.1_ASM164767v1_CDS_0517","GCF_002688565.1_ASM268856v1_CDS_0352","GCF_002934695.1_ASM293469v1_CDS_2162","GCF_002165295.2_ASM216529v2_CDS_0707","GCA_001581975.1_ASM158197v1_CDS_2804","GCF_001612555.1_ASM161255v1_CDS_0691","GCF_001696615.3_ASM169661v3_CDS_2563","GCF_002165305.2_ASM216530v2_CDS_2516"
"GCF_001278715.1_ASM127871v1_CDS_2382","cloud","","1","1","1.0","NA","NA","","","","740","740","740.0","GCF_001278715.1_ASM127871v1_CDS_2382","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2414","cloud","","3","3","1.0","NA","NA","","","","1151","1514","1391.0","GCF_001278715.1_ASM127871v1_CDS_2414","GCF_002165255.2_ASM216525v2_CDS_0797","","","","","GCA_001581975.1_ASM158197v1_CDS_0843","","",""
"GCF_001278715.1_ASM127871v1_CDS_2446","cloud","","1","1","1.0","NA","NA","","","","2783","2783","2783.0","GCF_001278715.1_ASM127871v1_CDS_2446","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2542","cloud","","1","1","1.0","NA","NA","","","","245","245","245.0","GCF_001278715.1_ASM127871v1_CDS_2542","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2574","cloud","","3","3","1.0","NA","NA","","","","383","386","384.0","GCF_001278715.1_ASM127871v1_CDS_2574","","","","","GCF_002165295.2_ASM216529v2_CDS_1722","","GCF_001612555.1_ASM161255v1_CDS_1657","",""
"GCF_001278715.1_ASM127871v1_CDS_2606","cloud","","1","2","2.0","NA","NA","","","","101","128","114.5","GCF_001278715.1_ASM127871v1_CDS_2606" "GCF_001278715.1_ASM127871v1_CDS_0100","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2638","cloud","","1","1","1.0","NA","NA","","","","575","575","575.0","GCF_001278715.1_ASM127871v1_CDS_2638","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2671","cloud","","1","1","1.0","NA","NA","","","","548","548","548.0","GCF_001278715.1_ASM127871v1_CDS_2671","","","","","","","","",""
"GCF_001278715.1_ASM127871v1_CDS_2735","cloud","","1","1","1.0","NA","NA","","","","224","224","224.0","GCF_001278715.1_ASM127871v1_CDS_2735","","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0101","cloud","","1","1","1.0","NA","NA","","","","767","767","767.0","","GCF_002165255.2_ASM216525v2_CDS_0101","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0165","cloud","","1","1","1.0","NA","NA","","","","2753","2753","2753.0","","GCF_002165255.2_ASM216525v2_CDS_0165","","","","","","","",""
"GCF_002165255.2_ASM216525v2_CDS_0197","cloud","","1","1","1.0","NA","NA","","","","242","242","242.0","","GCF_002165255.2_ASM216525v2_CDS_0197","","","","","","","",""
"GCF_001696615.3_ASM169661v3_CDS_2346","persistent","","10","10","1.0","NA","NA","","","","398","431","404.0","GCF_001278715.1_ASM127871v1_CDS_2123","GCF_002165255.2_ASM216525v2_CDS_0490","GCF_001647675.1_ASM164767v1_CDS_1959","GCF_002688565.1_ASM268856v1_CDS_0507","GCF_002934695.1_ASM293469v1_CDS_0266","GCF_002165295.2_ASM216529v2_CDS_2772","GCA_001581975.1_ASM158197v1_CDS_3062","GCF_001612555.1_ASM161255v1_CDS_0504","GCF_001696615.3_ASM169661v3_CDS_2346","GCF_002165305.2_ASM216530v2_CDS_2639"
"GCF_001696615.3_ASM169661v3_CDS_2411","cloud","","2","6","3.0","NA","NA","","","","455","455","455.0","","","","","GCF_002934695.1_ASM293469v1_CDS_0800","","","","GCF_001696615.3_ASM169661v3_CDS_2809" "GCF_001696615.3_ASM169661v3_CDS_0362" "GCF_001696615.3_ASM169661v3_CDS_1229" "GCF_001696615.3_ASM169661v3_CDS_1997" "GCF_001696615.3_ASM169661v3_CDS_2411",""
"GCF_001696615.3_ASM169661v3_CDS_2477","cloud","","1","1","1.0","NA","NA","","","","419","419","419.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2477",""
"GCF_001696615.3_ASM169661v3_CDS_2509","cloud","","1","1","1.0","NA","NA","","","","584","584","584.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2509",""
"GCF_001696615.3_ASM169661v3_CDS_2541","cloud","","1","1","1.0","NA","NA","","","","1157","1157","1157.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2541",""
"GCF_001696615.3_ASM169661v3_CDS_2637","cloud","","1","1","1.0","NA","NA","","","","704","704","704.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2637",""
"GCF_001696615.3_ASM169661v3_CDS_2701","cloud","","2","2","1.0","NA","NA","","","","251","518","384.5","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2701","GCF_002165305.2_ASM216530v2_CDS_2332"
"GCF_001696615.3_ASM169661v3_CDS_2733","cloud","","1","1","1.0","NA","NA","","","","1280","1280","1280.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2733",""
"GCF_001696615.3_ASM169661v3_CDS_2765","cloud","","1","1","1.0","NA","NA","","","","794","794","794.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2765",""
"GCF_001696615.3_ASM169661v3_CDS_2797","cloud","","1","1","1.0","NA","NA","","","","581","581","581.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2797",""
"GCF_001696615.3_ASM169661v3_CDS_2893","cloud","","1","1","1.0","NA","NA","","","","509","509","509.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2893",""
"GCF_001696615.3_ASM169661v3_CDS_2957","cloud","","1","1","1.0","NA","NA","","","","287","287","287.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_2957",""
"GCF_001696615.3_ASM169661v3_CDS_3021","cloud","","1","1","1.0","NA","NA","","","","419","419","419.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3021",""
"GCF_001696615.3_ASM169661v3_CDS_3053","cloud","","1","1","1.0","NA","NA","","","","599","599","599.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3053",""
"GCF_001696615.3_ASM169661v3_CDS_3085","cloud","","1","1","1.0","NA","NA","","","","425","425","425.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3085",""
"GCF_001696615.3_ASM169661v3_CDS_3149","cloud","","1","1","1.0","NA","NA","","","","2492","2492","2492.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3149",""
"GCF_001696615.3_ASM169661v3_CDS_3213","cloud","","1","1","1.0","NA","NA","","","","1070","1070","1070.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3213",""
"GCF_001696615.3_ASM169661v3_CDS_3309","cloud","","1","1","1.0","NA","NA","","","","521","521","521.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3309",""
"GCF_001696615.3_ASM169661v3_CDS_3373","cloud","","1","1","1.0","NA","NA","","","","281","281","281.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3373",""
"GCF_001696615.3_ASM169661v3_CDS_3469","cloud","","2","2","1.0","NA","NA","","","","152","1106","629.0","","GCF_002165255.2_ASM216525v2_CDS_2824","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3469",""
"GCF_001696615.3_ASM169661v3_CDS_3565","cloud","","3","3","1.0","NA","NA","","","","641","641","641.0","","","","","GCF_002934695.1_ASM293469v1_CDS_3490","GCF_002165295.2_ASM216529v2_CDS_3347","","","GCF_001696615.3_ASM169661v3_CDS_3565",""
"GCF_001696615.3_ASM169661v3_CDS_3629","cloud","","1","1","1.0","NA","NA","","","","557","557","557.0","","","","","","","","","GCF_001696615.3_ASM169661v3_CDS_3629",""
"GCF_002165305.2_ASM216530v2_CDS_0110","cloud","","1","1","1.0","NA","NA","","","","1826","1826","1826.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_0110"
"GCF_002165305.2_ASM216530v2_CDS_0206","cloud","","1","1","1.0","NA","NA","","","","461","461","461.0","","","","","","","","","","GCF_002165305.2_ASM216530v2_CDS_0206"
